YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Tampa Bay Buccaneers,15,0-0,9-9,6-6,4-4,7-9,0-0,26,28,92.9
2023,Tampa Bay Buccaneers,17,0-0,8-8,12-12,2-3,7-8,0-0,29,31,93.6
2022,Indianapolis Colts,16,0-0,7-7,5-6,9-11,9-12,0-0,30,36,83.3
2021,Cleveland Browns,16,0-0,3-3,4-4,4-10,4-4,0-0,15,21,71.4
2020,New York Jets,1,0-0,0-0,0-0,0-0,0-0,0-0,0,0,
2020,Jacksonville Jaguars,3,0-0,1-1,1-1,1-1,1-1,0-1,4,5,80.0
2019,Indianapolis Colts,4,1-1,1-1,1-1,0-1,2-2,0-0,5,6,83.3
2019,San Francisco 49ers,3,0-0,2-2,1-1,4-5,0-0,0-0,7,8,87.5
2019,Los Angeles Chargers,4,0-0,2-2,2-2,1-4,1-1,0-0,6,9,66.7
TOTAL,,79,1-1,33-33,32-33,25-39,31-37,0-1,122,144,84.7
