YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Pittsburgh Steelers,16,0-0,9-9,12-12,7-8,12-13,0-1,40,43,93.0
2023,Pittsburgh Steelers,17,0-0,9-9,7-7,7-8,6-6,0-1,29,31,93.6
2022,Pittsburgh Steelers,12,0-0,4-4,4-5,5-10,7-9,0-0,20,28,71.4
2021,Pittsburgh Steelers,17,0-0,9-9,8-9,11-13,8-9,0-0,36,40,90.0
2020,Pittsburgh Steelers,13,0-0,5-5,6-6,7-8,1-1,0-0,19,20,95.0
2019,Pittsburgh Steelers,16,1-1,11-11,7-7,9-10,1-2,0-0,29,31,93.6
2018,Pittsburgh Steelers,15,0-0,3-3,4-6,5-10,1-1,0-0,13,20,65.0
2017,Pittsburgh Steelers,16,0-0,10-10,12-14,9-10,4-4,0-0,35,38,92.1
2016,Pittsburgh Steelers,15,0-0,2-2,8-9,11-12,0-2,0-0,21,25,84.0
2015,Pittsburgh Steelers,12,1-1,9-9,8-8,9-12,2-2,0-0,29,32,90.6
TOTAL,,149,2-2,71-71,76-83,80-101,42-49,0-2,271,308,88.0
