YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Seattle Seahawks,16,0-0,4-4,6-6,7-8,8-9,0-2,25,29,86.2
2023,Seattle Seahawks,17,0-0,8-8,11-12,12-14,4-8,0-0,35,42,83.3
2022,Seattle Seahawks,17,0-0,9-9,15-16,4-6,6-6,0-0,34,37,91.9
2021,Seattle Seahawks,17,0-0,2-2,9-11,3-5,3-5,0-0,17,23,73.9
2020,Seattle Seahawks,16,0-0,2-2,7-7,13-13,1-1,1-1,24,24,100.0
2019,Seattle Seahawks,16,0-0,6-6,11-11,4-7,2-4,0-0,23,28,82.1
2018,New York Jets,16,0-0,4-4,13-14,10-11,6-7,0-0,33,36,91.7
2017,Jacksonville Jaguars,6,0-0,4-4,2-3,5-5,0-3,0-0,11,15,73.3
2016,Jacksonville Jaguars,16,0-0,7-7,3-4,10-11,7-11,0-1,27,34,79.4
2015,Jacksonville Jaguars,16,0-0,9-10,8-8,6-8,3-4,0-0,26,30,86.7
TOTAL,,153,0-0,55-56,85-92,74-88,40-58,1-4,255,298,85.6
