YEAR,TEAM,G,1-19,20-29,30-39,40-49,50-59,60+,FGM,FG ATT,PCT
2024,Tennessee Titans,14,0-0,5-5,2-2,8-9,6-6,0-0,21,22,95.4
2023,Tennessee Titans,17,0-0,9-9,9-9,6-6,5-6,0-0,29,30,96.7
2022,New England Patriots,17,1-1,9-9,8-8,10-14,4-5,0-0,32,37,86.5
2021,New England Patriots,17,0-0,9-9,11-11,11-11,5-8,0-0,36,39,92.3
2020,New England Patriots,16,0-0,6-6,7-7,11-12,2-3,0-0,26,28,92.9
2019,New England Patriots,7,1-1,5-5,3-3,4-7,1-1,0-0,14,17,82.4
2017,Tampa Bay Buccaneers,4,0-0,2-2,1-2,2-5,1-2,0-0,6,11,54.6
2016,New York Jets,16,0-0,12-13,10-11,3-3,2-4,0-0,27,31,87.1
2015,New York Jets,8,0-0,2-2,6-6,3-6,2-2,0-0,13,16,81.2
2014,New York Jets,16,0-0,13-13,7-7,9-13,3-6,0-0,32,39,82.0
2013,New York Jets,16,0-0,8-8,10-11,12-14,3-3,0-0,33,36,91.7
2012,New York Jets,16,0-0,7-8,6-8,5-7,0-0,0-0,21,27,77.8
2011,New York Jets,16,0-0,5-6,6-6,5-7,0-0,0-0,19,25,76.0
2010,New York Jets,16,1-1,10-11,14-16,3-6,0-0,0-0,30,39,76.9
2009,Dallas Cowboys,14,1-1,5-6,6-7,5-12,0-0,0-0,18,28,64.3
2008,Dallas Cowboys,16,0-0,1-1,7-8,10-11,0-0,0-0,20,22,90.9
2007,Dallas Cowboys,16,0-0,10-12,7-7,7-7,0-0,0-0,26,31,83.9
TOTAL,,242,4-4,118-125,120-129,114-150,34-46,0-0,403,478,84.3
