WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
2,Giants,W 21 - 18,0.0,45.0,7.0,7.0,100.0,0.0,0.0,,0.0,,61.7,1.0,6.0,26.0
3,@Bengals,W 38 - 33,0.0,42.0,1.0,1.0,100.0,5.0,5.0,100.0,0.0,,64.3,2.0,5.0,25.8
4,@Cardinals,W 42 - 14,0.0,45.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,,63.4,2.0,5.0,26.0
5,Browns,W 34 - 13,0.0,30.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,,62.6,1.0,6.0,25.5
6,@Ravens,L 23 - 30,1.0,55.0,4.0,3.0,75.0,2.0,2.0,100.0,0.0,,64.3,2.0,4.0,26.0
7,Panthers,W 40 - 7,0.0,49.0,4.0,4.0,100.0,4.0,4.0,100.0,0.0,,62.2,3.0,6.0,22.2
8,Bears,W 18 - 15,0.0,47.0,5.0,4.0,80.0,0.0,0.0,,0.0,,64.4,2.0,3.0,28.3
9,@Giants,W 27 - 22,0.0,31.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,,62.0,1.0,5.0,25.0
10,Steelers,L 27 - 28,,,,,,,,,,,,,,
11,@Eagles,L 18 - 26,,,,,,,,,,,,,,
12,Cowboys,L 26 - 34,0.0,51.0,3.0,2.0,66.7,2.0,0.0,0.0,0.0,,45.2,0.0,5.0,44.4
