WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Rams,L 14 - 21,0.0,54.0,3.0,2.0,66.7,0.0,0.0,,0.0,,65.0,1,3,33.3
14,@Giants,W 14 - 11,1.0,0.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,,62.7,1,2,24.5
15,Commanders,L 19 - 20,0.0,51.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,,59.5,0,4,28.8
16,@Packers,L 0 - 34,,,,,,,,,,,66.0,0,1,38.0
1,Panthers,W 47 - 10,0.0,57.0,4.0,4.0,100.0,5.0,5.0,100.0,0.0,,63.3,1,9,25.8
2,@Cowboys,W 44 - 19,0.0,26.0,1.0,1.0,100.0,6.0,5.0,83.3,1.0,,64.4,3,5,24.2
3,Eagles,L 12 - 15,0.0,38.0,2.0,2.0,100.0,0.0,0.0,,0.0,,64.8,1,3,25.7
4,@Falcons,L 24 - 26,0.0,43.0,1.0,1.0,100.0,3.0,3.0,100.0,0.0,,64.4,3,2,19.5
5,@Chiefs,L 13 - 26,0.0,0.0,0.0,0.0,,2.0,1.0,50.0,0.0,,61.3,0,3,23.0
6,Buccaneers,L 27 - 51,0.0,42.0,2.0,2.0,100.0,3.0,3.0,100.0,0.0,,64.3,0,6,25.5
7,Broncos,L 10 - 33,0.0,35.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,,63.5,0,2,30.0
8,@Chargers,L 8 - 26,0.0,43.0,3.0,2.0,66.7,0.0,0.0,,0.0,,64.3,1,2,28.5
9,@Panthers,L 22 - 23,0.0,51.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,,63.0,3,3,17.7
10,Falcons,W 20 - 17,0.0,38.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,63.4,0,5,28.6
11,Browns,W 35 - 14,0.0,0.0,0.0,0.0,,5.0,5.0,100.0,0.0,,64.2,4,2,18.5
