WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Giants,W 27 - 20,0,33,2,2,100.0,3,3,100.0,0,,65.0,5,1,36.0
14,Bengals,L 20 - 27,0,47,2,2,100.0,2,2,100.0,0,,64.8,3,2,33.5
15,@Panthers,W 30 - 14,0,52,4,3,75.0,3,3,100.0,0,,63.9,4,3,29.3
16,Buccaneers,W 26 - 24,0,58,4,4,100.0,2,2,100.0,0,,65.3,4,2,34.5
1,@Browns,W 33 - 17,0,57,4,4,100.0,3,3,100.0,0,,63.5,4,4,24.2
2,Saints,L 19 - 44,0,52,4,4,100.0,1,1,100.0,0,,65.0,5,0,
3,Ravens,L 25 - 28,0,65,2,2,100.0,1,1,100.0,0,,46.3,2,2,25.5
4,@Giants,W 20 - 15,0,60,3,2,66.7,2,2,100.0,0,,62.2,1,4,21.8
5,@Steelers,W 20 - 17,1,55,3,2,66.7,2,2,100.0,0,,63.6,1,4,25.2
6,Lions,L 9 - 47,0,50,3,3,100.0,0,0,,0,,63.2,3,1,34.0
8,@49ers,L 24 - 30,0,29,1,1,100.0,3,3,100.0,0,,59.4,2,2,29.5
9,@Falcons,L 21 - 27,0,57,2,2,100.0,1,1,100.0,0,,50.6,0,4,23.8
10,Eagles,L 6 - 34,0,46,2,2,100.0,0,0,,0,,62.0,0,3,29.0
11,Texans,L 10 - 34,0,53,2,1,50.0,1,1,100.0,0,,63.7,1,2,13.0
12,@Commanders,W 34 - 26,1,48,4,2,50.0,4,4,100.0,0,,61.4,3,3,33.7
