WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Texans,L 20 - 23,0,33,3,2,66.7,0,0,,0,,65.0,5,0,
14,@Titans,W 10 - 6,0,23,1,1,100.0,1,1,100.0,0,,66.0,1,2,29.0
15,Jets,L 25 - 32,0,43,4,4,100.0,1,1,100.0,0,,65.0,6,0,
16,@Raiders,L 14 - 19,0,0,0,0,,2,2,100.0,0,,65.0,3,0,
1,@Dolphins,L 17 - 20,0,53,1,1,100.0,2,2,100.0,0,,65.0,3,0,
2,Browns,L 13 - 18,0,25,3,2,66.7,1,1,100.0,0,,64.2,3,1,25.0
3,@Bills,L 10 - 47,0,41,1,1,100.0,1,1,100.0,0,,65.0,2,1,32.0
4,@Texans,L 20 - 24,0,52,2,2,100.0,2,2,100.0,0,,65.0,5,0,
5,Colts,W 37 - 34,0,49,3,3,100.0,4,4,100.0,0,,65.0,7,1,29.0
6,@Bears,L 16 - 35,0,30,1,1,100.0,1,1,100.0,0,,51.0,3,0,
7,Patriots,W 32 - 16,0,21,1,1,100.0,3,3,100.0,0,,64.5,5,1,29.0
8,Packers,L 27 - 30,0,47,2,2,100.0,3,3,100.0,0,,65.0,6,0,
9,@Eagles,L 23 - 28,0,0,0,0,,1,1,100.0,0,,65.5,3,1,34.0
10,Vikings,L 7 - 12,0,0,0,0,,1,1,100.0,0,,65.0,2,0,
11,@Lions,L 6 - 52,0,59,2,2,100.0,0,0,,0,,57.5,2,0,
