WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Falcons,W 17 - 13,0,51,3,3,100,0,0,,0,,65.0,5,0,
14,@Chiefs,L 17 - 19,0,37,1,1,100,2,2,100.0,0,,57.5,0,3,28.3
15,Buccaneers,L 17 - 40,0,41,1,1,100,2,2,100.0,0,,65.5,3,1,37.0
17,@Patriots,W 40 - 7,0,41,4,4,100,4,4,100.0,0,,65.2,5,4,26.8
16,Broncos,W 34 - 27,0,57,2,2,100,2,2,100.0,0,,65.0,6,0,
1,Raiders,W 22 - 10,0,53,3,3,100,1,1,100.0,0,,64.2,5,1,28.0
2,@Panthers,W 26 - 3,0,46,2,2,100,3,2,66.7,0,,60.2,2,3,27.0
3,@Steelers,L 10 - 20,0,28,1,1,100,1,1,100.0,0,,65.0,3,0,
4,Chiefs,L 10 - 17,0,50,2,1,50,1,1,100.0,0,,65.0,3,0,
6,@Broncos,W 23 - 16,0,46,3,3,100,2,2,100.0,0,,64.5,5,1,31.0
7,@Cardinals,L 15 - 17,0,59,5,5,100,0,0,,0,,65.6,3,2,27.0
8,Saints,W 26 - 8,0,46,2,2,100,3,2,66.7,0,,65.6,5,2,31.5
9,@Browns,W 27 - 10,0,0,1,0,0,4,3,75.0,0,,64.8,3,2,23.5
10,Titans,W 27 - 17,0,37,2,2,100,3,3,100.0,0,,65.0,3,3,29.0
11,Bengals,W 34 - 27,0,53,2,2,100,4,4,100.0,0,,64.3,4,2,32.5
12,Ravens,L 23 - 30,0,52,3,3,100,2,2,100.0,0,,53.8,4,0,
