WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Vikings,L 22 - 23,0,40,6,5,83.3,1,1,100.0,0,,65.0,6,0,
14,Seahawks,L 18 - 30,0,28,2,1,50.0,1,1,100.0,0,,65.0,3,1,27.0
15,Patriots,W 30 - 17,0,49,3,3,100.0,3,3,100.0,0,,65.9,5,2,26.0
16,@Panthers,L 30 - 36,0,58,3,3,100.0,3,3,100.0,0,,65.3,4,3,28.7
17,@Rams,L 9 - 13,0,28,1,1,100.0,1,0,0.0,1,,65.0,2,1,33.0
5,@49ers,W 24 - 23,1,42,4,3,75.0,1,1,100.0,0,,65.8,5,1,32.0
6,@Packers,L 13 - 34,0,40,2,2,100.0,1,1,100.0,0,,65.5,2,2,30.0
7,Chargers,W 17 - 15,0,32,1,1,100.0,2,2,100.0,0,,65.0,3,0,
8,@Dolphins,W 28 - 27,0,57,2,2,100.0,2,2,100.0,0,,64.8,4,1,35.0
9,Bears,W 29 - 9,0,55,2,2,100.0,3,3,100.0,0,,65.0,6,0,
10,Jets,W 31 - 6,0,37,1,1,100.0,4,4,100.0,0,,65.0,5,0,
12,@Seahawks,L 6 - 16,0,35,3,2,66.7,0,0,,0,,65.3,2,1,20.0
