WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Panthers,W 26 - 23,0,51,5,4,80.0,2,2,100,0,,,,,
14,Raiders,W 28 - 13,0,0,0,0,,4,4,100,0,,,,,
15,@Chargers,W 40 - 17,0,43,4,4,100.0,4,4,100,0,,,,,
16,@Cowboys,L 24 - 26,0,45,1,1,100.0,3,3,100,0,,65.0,5.0,0.0,
1,Commanders,W 37 - 20,0,56,3,3,100.0,4,4,100,0,,,,,
2,@Lions,W 20 - 16,0,55,2,2,100.0,2,2,100,0,,,,,
3,Broncos,L 7 - 26,0,0,0,0,,1,1,100,0,,,,,
4,Eagles,W 33 - 16,0,52,2,2,100.0,4,3,75,1,,,,,
5,@Falcons,L 30 - 36,0,53,3,3,100.0,3,3,100,0,,,,,
6,@Saints,W 51 - 27,0,26,1,1,100.0,6,6,100,0,,,,,
7,Ravens,L 31 - 41,0,23,2,1,50.0,2,2,100,0,,13.0,0.0,0.0,
8,Falcons,L 26 - 31,0,52,1,1,100.0,3,3,100,0,,,,,
9,@Chiefs,L 24 - 30,0,47,1,1,100.0,3,3,100,0,,,,,
10,49ers,L 20 - 23,0,30,2,2,100.0,2,2,100,0,,,,,
12,@Giants,W 30 - 7,0,23,1,1,100.0,4,3,75,0,,,,,
