WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Bengals,W 44 - 38,1,50,4,3,75.0,5,5,100.0,0,,62.1,3,5,29.2
14,Browns,W 27 - 14,0,54,2,2,100.0,3,3,100.0,0,,64.2,5,1,56.0
15,@Eagles,L 13 - 27,0,49,2,2,100.0,1,1,100.0,0,,64.5,2,2,31.5
16,@Ravens,L 17 - 34,0,51,1,1,100.0,2,2,100.0,0,,61.7,2,0,
17,Chiefs,L 10 - 29,0,36,1,1,100.0,1,1,100.0,0,,62.0,0,3,26.0
1,@Falcons,W 18 - 10,0,57,6,6,100.0,0,0,,0,,64.7,4,2,28.0
2,@Broncos,W 13 - 6,0,53,2,2,100.0,1,1,100.0,0,,65.0,3,0,
3,Chargers,W 20 - 10,0,38,3,2,66.7,2,2,100.0,0,,66.0,3,2,18.5
4,@Colts,L 24 - 27,0,50,1,1,100.0,3,3,100.0,0,,65.0,4,0,
5,Cowboys,L 17 - 20,0,41,1,1,100.0,2,2,100.0,0,,65.0,3,1,38.0
6,@Raiders,W 32 - 13,0,52,4,4,100.0,2,2,100.0,0,,65.1,7,1,31.0
7,Jets,W 37 - 15,0,46,3,3,100.0,4,4,100.0,0,,64.9,3,5,24.0
8,Giants,W 26 - 18,0,31,4,4,100.0,2,2,100.0,0,,63.7,4,3,33.3
10,@Commanders,W 28 - 27,0,0,0,0,,4,4,100.0,0,,60.6,1,4,29.5
11,Ravens,W 18 - 16,0,57,6,6,100.0,0,0,,0,,64.3,3,4,27.2
12,@Browns,L 19 - 24,0,48,3,2,66.7,1,1,100.0,0,,61.8,2,3,24.0
