WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Chiefs,L 17 - 19,0,27,4,1,25.0,2,2,100.0,0,,64.8,2,2,25.0
14,@Buccaneers,L 13 - 28,0,27,2,2,100.0,1,1,100.0,0,,63.0,2,2,24.0
15,Falcons,L 9 - 15,0,52,1,1,100.0,1,0,0.0,1,,65.2,2,2,33.0
16,Jaguars,W 19 - 14,0,49,3,2,66.7,1,1,100.0,0,,65.0,5,0,
1,@Chargers,L 10 - 22,0,32,2,1,50.0,1,1,100.0,0,,64.7,2,1,35.0
2,@Ravens,W 26 - 23,0,53,4,4,100.0,2,2,100.0,0,,65.3,5,2,23.0
3,Panthers,L 22 - 36,0,0,1,0,0.0,2,2,100.0,0,,51.8,1,2,27.5
4,Browns,W 20 - 16,0,52,2,2,100.0,2,2,100.0,0,,64.2,1,4,23.0
5,@Broncos,L 18 - 34,0,40,1,1,100.0,1,1,100.0,0,,49.8,1,2,30.5
6,Steelers,L 13 - 32,0,0,0,0,,1,1,100.0,0,,45.0,1,2,16.5
7,@Rams,L 15 - 20,0,47,5,5,100.0,0,0,,0,,65.0,5,0,
8,Chiefs,L 20 - 27,0,54,2,2,100.0,2,2,100.0,0,,53.8,3,1,14.0
9,@Bengals,L 24 - 41,0,46,1,1,100.0,3,3,100.0,0,,64.0,3,2,21.5
11,@Dolphins,L 19 - 34,0,27,2,2,100.0,1,1,100.0,0,,57.6,2,2,26.0
12,Broncos,L 19 - 29,0,53,4,4,100.0,1,1,100.0,0,,65.0,5,0,
