WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Buccaneers,L 23 - 26,0,47,5,3,60.0,2,2,100.0,0,,63.6,2.0,5.0,19.6
14,@Eagles,L 16 - 22,0,38,1,1,100.0,2,1,50.0,0,,65.8,3.0,1.0,27.0
15,Cowboys,L 14 - 30,0,0,0,0,,2,2,100.0,0,,,,,
16,Cardinals,W 36 - 30,0,29,1,1,100.0,4,3,75.0,0,,60.5,4.0,1.0,26.0
1,@Saints,L 10 - 47,0,43,1,1,100.0,1,1,100.0,0,,62.5,0.0,2.0,32.5
2,Chargers,L 3 - 26,0,38,1,1,100.0,0,0,,0,,62.5,1.0,1.0,13.0
3,@Raiders,W 36 - 22,0,43,3,3,100.0,3,3,100.0,0,,62.1,5.0,2.0,26.5
4,Bengals,L 24 - 34,0,48,1,1,100.0,3,3,100.0,0,,60.4,0.0,5.0,21.2
5,@Bears,L 10 - 36,0,27,2,1,50.0,1,1,100.0,0,,61.7,0.0,3.0,26.7
6,Falcons,L 20 - 38,0,40,2,2,100.0,2,2,100.0,0,,65.2,4.0,1.0,25.0
7,@Commanders,L 7 - 40,0,0,0,0,,1,1,100.0,0,,61.5,1.0,1.0,34.0
8,@Broncos,L 14 - 28,0,0,0,0,,2,2,100.0,0,,65.0,2.0,0.0,
9,Saints,W 23 - 22,0,48,1,1,100.0,2,2,100.0,0,,63.2,2.0,3.0,19.7
10,Giants,W 20 - 17,0,53,2,2,100.0,2,2,100.0,0,,58.6,1.0,3.0,25.7
12,Chiefs,L 27 - 30,0,33,4,4,100.0,1,1,100.0,0,,64.5,2.0,4.0,33.0
