WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
15,@Browns,W 21 - 7,0,0,1,0,0.0,3,3,100.0,0,,,,,
16,Texans,W 27 - 19,0,44,2,2,100.0,3,3,100.0,0,,65.8,5.0,1.0,31.0
17,@Steelers,W 29 - 10,0,32,1,1,100.0,3,2,66.7,0,,64.2,4.0,2.0,20.5
1,Ravens,W 27 - 20,0,32,2,2,100.0,3,3,100.0,0,,65.0,6.0,0.0,
2,Bengals,W 26 - 25,0,51,2,2,100.0,2,2,100.0,0,,63.4,3.0,2.0,24.0
3,@Falcons,W 22 - 17,0,53,3,3,100.0,2,1,50.0,0,,65.5,4.0,2.0,28.0
4,@Chargers,W 17 - 10,0,37,2,1,50.0,2,2,100.0,0,,65.0,4.0,0.0,
5,Saints,W 26 - 13,0,38,5,4,80.0,2,2,100.0,0,,65.9,4.0,3.0,28.3
7,@49ers,W 28 - 18,0,0,0,0,,4,4,100.0,0,,65.0,4.0,1.0,35.0
8,@Raiders,W 27 - 20,0,42,2,2,100.0,3,3,100.0,0,,65.0,6.0,0.0,
9,Buccaneers,W 30 - 24,0,40,1,1,100.0,3,3,100.0,0,,64.4,4.0,1.0,46.0
10,Broncos,W 16 - 14,0,36,3,3,100.0,1,1,100.0,0,,60.4,4.0,0.0,
