WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Bears,W 23 - 20,0,48,4,3,75.0,2,2,100.0,0,,64.7,5,1,24.0
14,Packers,W 34 - 31,0,43,2,2,100.0,4,4,100.0,0,,65.0,6,0,
15,Bills,L 42 - 48,0,0,1,0,0.0,6,6,100.0,0,,49.1,5,1,38.0
16,@Bears,W 34 - 17,0,34,3,2,66.7,4,4,100.0,0,,63.0,4,3,24.0
1,Rams,W 26 - 20,0,32,2,2,100.0,2,2,100.0,0,,64.6,4,1,20.0
2,Buccaneers,L 16 - 20,0,35,3,3,100.0,1,1,100.0,0,,65.0,5,0,
3,@Cardinals,W 20 - 13,0,0,0,0,,3,2,66.7,0,,65.0,4,0,
4,Seahawks,W 42 - 29,0,0,0,0,,6,6,100.0,0,,66.8,6,2,27.0
6,@Cowboys,W 47 - 9,0,48,4,4,100.0,5,5,100.0,0,,67.6,6,4,48.5
7,@Vikings,W 31 - 29,0,44,1,1,100.0,4,4,100.0,0,,65.5,4,2,26.0
8,Titans,W 52 - 14,0,51,1,1,100.0,7,7,100.0,0,,65.0,8,1,29.0
9,@Packers,W 24 - 14,0,27,1,1,100.0,3,3,100.0,0,,62.8,3,2,26.5
10,@Texans,W 26 - 23,0,58,2,2,100.0,2,2,100.0,0,,65.0,5,0,
11,Jaguars,W 52 - 6,0,54,1,1,100.0,7,7,100.0,0,,64.7,7,2,29.0
12,@Colts,W 24 - 6,0,56,1,1,100.0,3,3,100.0,0,,65.2,4,1,25.0
