WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Ravens,W 24 - 19,0,35,1,1,100.0,3,3,100.0,0,,,,,
14,Panthers,W 22 - 16,0,0,1,0,0.0,2,2,100.0,0,,,,,
15,Steelers,W 27 - 13,0,41,2,2,100.0,3,3,100.0,0,,,,,
16,@Commanders,L 33 - 36,0,50,5,4,80.0,3,3,100.0,0,,,,,
1,Packers,W 34 - 29,0,38,2,2,100.0,4,4,100.0,0,,,,,
2,Falcons,L 21 - 22,0,29,2,2,100.0,1,1,100.0,0,,,,,
3,@Saints,W 15 - 12,0,0,1,0,0.0,1,1,100.0,0,,,,,
4,@Buccaneers,L 16 - 33,0,0,0,0,,2,2,100.0,0,,,,,
6,Browns,W 20 - 16,1,49,3,2,66.7,2,2,100.0,0,,,,,
7,@Giants,W 28 - 3,0,0,0,0,,4,4,100.0,0,,65.0,1.0,0.0,
8,@Bengals,W 37 - 17,0,49,3,3,100.0,4,4,100.0,0,,,,,
9,Jaguars,W 28 - 23,0,43,2,1,50.0,1,1,100.0,0,,,,,
10,@Cowboys,W 34 - 6,0,39,2,2,100.0,4,4,100.0,0,,,,,
11,Commanders,W 26 - 18,0,31,4,2,50.0,3,2,66.7,0,,,,,
12,@Rams,W 37 - 20,0,31,3,3,100.0,4,4,100.0,0,,,,,
