WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Bills,L 10 - 35,0.0,33.0,3.0,1.0,33.3,1.0,1.0,100.0,0.0,,63.0,1.0,2.0,21.5
14,Bears,W 38 - 13,0.0,23.0,1.0,1.0,100.0,5.0,5.0,100.0,0.0,,58.6,4.0,1.0,25.0
15,Rams,L 6 - 12,0.0,53.0,2.0,2.0,100.0,0.0,0.0,,0.0,,62.7,1.0,2.0,25.5
16,@Dolphins,L 17 - 29,0.0,21.0,2.0,1.0,50.0,2.0,2.0,100.0,0.0,,65.2,3.0,1.0,32.0
1,Jets,W 32 - 19,0.0,53.0,6.0,6.0,100.0,2.0,2.0,100.0,0.0,,65.0,6.0,3.0,25.7
2,@Vikings,L 17 - 23,0.0,31.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,65.0,3.0,0.0,
3,@Rams,L 24 - 27,0.0,26.0,2.0,1.0,50.0,3.0,3.0,100.0,0.0,,65.0,5.0,0.0,
4,Patriots,W 30 - 13,0.0,41.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,,65.0,6.0,1.0,30.0
5,Cardinals,L 23 - 24,0.0,28.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,65.2,3.0,1.0,39.0
6,@Seahawks,W 36 - 24,,,,,,,,,,,,,,
7,Chiefs,L 18 - 28,,,,,,,,,,,,,,
8,Cowboys,W 30 - 24,,,,,,,,,,,,,,
10,@Buccaneers,W 23 - 20,0.0,44.0,6.0,3.0,50.0,2.0,2.0,100.0,0.0,,65.0,5.0,0.0,
11,Seahawks,L 17 - 20,0.0,33.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,65.0,3.0,1.0,15.0
12,@Packers,L 10 - 38,0.0,48.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,,61.0,2.0,1.0,21.0
