WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Jets,W 26 - 21,0,54,2,2,100.0,3,2,66.7,1,,64.5,1,5,47.6
14,@Cardinals,W 30 - 18,0,36,3,3,100.0,3,3,100.0,0,,65.0,7,0,
15,Packers,L 13 - 30,0,48,2,2,100.0,1,1,100.0,0,,64.5,1,3,32.7
16,Vikings,L 24 - 27,0,43,2,1,50.0,3,3,100.0,0,,63.8,4,1,20.0
17,@Bears,W 6 - 3,0,50,2,2,100.0,0,0,,0,,65.0,2,1,22.0
1,Broncos,W 26 - 20,0,50,2,2,100.0,2,2,100.0,0,,65.5,5,3,23.0
2,@Patriots,W 23 - 20,0,44,3,3,100.0,2,2,100.0,0,,65.0,5,0,
3,Dolphins,W 24 - 3,0,56,2,1,50.0,3,3,100.0,0,,65.0,2,3,30.3
4,@Lions,L 29 - 42,0,0,1,0,0.0,3,3,100.0,0,,64.8,4,1,26.0
5,Giants,L 20 - 29,1,48,3,2,66.7,2,2,100.0,0,,63.0,2,3,22.7
6,49ers,L 24 - 36,0,20,1,1,100.0,3,3,100.0,0,,64.0,0,4,24.2
7,@Falcons,W 34 - 14,0,59,2,2,100.0,4,4,100.0,0,,64.6,5,2,21.5
8,Bills,L 10 - 31,0,38,1,1,100.0,1,1,100.0,0,,62.7,1,2,20.5
9,Rams,L 20 - 26,0,0,0,0,,3,2,66.7,1,,63.8,1,3,23.0
11,@49ers,W 20 - 17,0,57,2,2,100.0,2,2,100.0,0,,62.0,2,3,17.0
12,Cardinals,W 16 - 6,0,50,1,1,100.0,2,1,50.0,0,,62.0,1,3,26.3
