WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Packers,L 17 - 30,0,33,1,1,100.0,0,0,,0,,51.5,1,2,36.5
14,Jets,W 32 - 26,0,57,4,4,100.0,1,0,0.0,0,,66.0,6,1,29.0
15,@Texans,L 12 - 20,0,55,2,2,100.0,1,0,0.0,0,,65.0,4,0,
16,49ers,W 29 - 17,0,54,5,5,100.0,2,2,100.0,0,,64.2,7,0,
1,Jaguars,W 20 - 17,0,52,3,2,66.7,2,2,100.0,0,,64.5,2,2,22.0
2,Bills,L 10 - 31,0,34,1,1,100.0,1,1,100.0,0,,64.0,2,1,25.0
3,@Seahawks,L 3 - 24,0,23,2,1,50.0,0,0,,0,,64.5,0,2,29.0
4,Titans,L 12 - 31,0,56,2,2,100.0,0,0,,0,,49.5,2,1,21.0
5,@Patriots,W 15 - 10,0,54,4,3,75.0,0,0,,0,,66.0,4,1,24.0
7,@Colts,L 10 - 16,0,33,2,1,50.0,1,1,100.0,0,,62.7,2,1,20.0
8,Cardinals,L 27 - 28,0,53,2,2,100.0,3,3,100.0,0,,66.6,6,1,21.0
9,@Bills,L 27 - 30,0,39,2,2,100.0,3,3,100.0,0,,65.0,6,0,
10,@Rams,W 23 - 15,0,50,3,3,100.0,2,2,100.0,0,,62.2,4,2,20.0
11,Raiders,W 34 - 19,0,46,2,2,100.0,4,4,100.0,0,,65.1,6,1,31.0
12,Patriots,W 34 - 15,0,51,2,2,100.0,4,4,100.0,0,,65.0,7,0,
