WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Colts,L 24 - 25,0,54,5,3,60.0,1,1,100.0,0,,62.7,3,3,24.0
15,@Cardinals,L 17 - 30,0,50,2,1,50.0,2,2,100.0,0,,51.0,3,0,
16,@Bills,L 21 - 24,0,0,0,0,,3,3,100.0,0,,47.5,1,2,23.0
17,Chargers,L 7 - 40,0,0,0,0,,1,1,100.0,0,,65.5,1,1,17.0
1,@Bengals,W 16 - 10,0,37,3,3,100.0,1,1,100.0,0,,65.0,4,0,
2,Seahawks,L 20 - 23,1,29,3,2,66.7,2,2,100.0,0,,64.6,4,1,26.0
3,@Jets,L 3 - 24,0,44,1,1,100.0,0,0,,0,,66.5,1,1,27.0
4,@49ers,L 13 - 30,0,63,2,2,100.0,1,1,100.0,0,,64.0,2,1,23.0
5,Dolphins,L 10 - 15,0,38,2,1,50.0,1,1,100.0,0,,62.7,2,1,19.0
6,Texans,L 21 - 41,0,0,0,0,,3,3,100.0,0,,65.0,3,1,25.0
7,@Jaguars,L 16 - 32,0,41,1,1,100.0,1,1,100.0,0,,63.8,3,1,27.0
8,Jets,W 25 - 22,0,23,1,1,100.0,2,2,100.0,0,,65.0,5,0,
9,@Titans,L 17 - 20,0,52,2,1,50.0,2,2,100.0,0,,65.5,2,2,23.5
10,@Bears,W 19 - 3,0,37,4,4,100.0,1,1,100.0,0,,60.0,3,1,35.0
11,Rams,L 22 - 28,0,42,3,3,100.0,2,1,50.0,1,,63.8,3,3,27.3
12,@Dolphins,L 15 - 34,0,0,1,0,0.0,1,1,100.0,0,,65.0,3,0,
