WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Saints,W 21 - 14,0,0,0,0,,3,3,100.0,0,,,,,
14,Bills,W 44 - 42,0,22,1,1,100.0,6,5,83.3,0,,,,,
15,@49ers,W 12 - 6,0,48,4,4,100.0,0,0,,0,,,,,
16,@Jets,W 19 - 9,0,45,2,2,100.0,2,1,50.0,0,,,,,
17,Cardinals,W 13 - 9,0,53,2,2,100.0,1,1,100.0,0,,,,,
1,@Lions,L 20 - 26,0,41,2,2,100.0,2,2,100.0,0,,,,,
2,@Cardinals,L 10 - 41,0,29,1,1,100.0,1,1,100.0,0,,,,,
3,49ers,W 27 - 24,0,37,2,2,100.0,3,3,100.0,0,,,,,
4,@Bears,L 18 - 24,0,52,5,4,80.0,0,0,,0,,,,,
5,Packers,L 19 - 24,0,0,0,0,,2,1,50.0,1,,,,,
7,Raiders,W 20 - 15,0,0,1,0,0.0,3,2,66.7,0,,,,,
8,Vikings,W 30 - 20,0,0,0,0,,4,4,100.0,0,,,,,
9,@Seahawks,W 26 - 20,0,38,2,2,100.0,2,2,100.0,0,,65.2,5.0,1.0,32.0
10,Dolphins,L 15 - 23,0,55,6,5,83.3,0,0,,0,,8.0,0.0,0.0,
11,@Patriots,W 28 - 22,0,0,1,0,0.0,4,4,100.0,0,,,,,
12,Eagles,L 20 - 37,0,0,1,0,0.0,2,2,100.0,0,,,,,
