WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Eagles,L 19 - 24,0,50,4,2,50.0,2,1,50,0,,52.6,3,1,23.0
15,@Giants,W 35 - 14,0,0,0,0,,5,5,100,0,,65.0,1,3,25.7
16,Steelers,W 34 - 17,0,51,2,2,100.0,4,4,100,0,,63.2,4,1,18.0
17,@Texans,W 31 - 2,0,52,1,1,100.0,4,4,100,0,,65.0,2,0,
1,@Chiefs,L 20 - 27,0,32,3,2,66.7,2,2,100,0,,64.0,3,2,28.5
2,Raiders,L 23 - 26,0,48,4,3,75.0,2,2,100,0,,65.7,4,2,30.0
3,@Cowboys,W 28 - 25,0,0,1,0,0.0,4,4,100,0,,65.8,3,2,29.0
4,Bills,W 35 - 10,0,0,0,0,,5,5,100,0,,65.0,6,0,
5,@Bengals,W 41 - 38,0,56,2,2,100.0,5,5,100,0,,66.1,7,1,27.0
6,Commanders,W 30 - 23,0,45,3,3,100.0,3,3,100,0,,65.1,6,1,32.0
7,@Buccaneers,W 41 - 31,0,52,2,2,100.0,5,5,100,0,,65.0,8,0,
8,@Browns,L 24 - 29,0,49,2,1,50.0,3,3,100,0,,59.8,2,3,19.7
9,Broncos,W 41 - 10,0,37,2,2,100.0,5,5,100,0,,65.1,4,4,29.0
10,Bengals,W 35 - 34,0,0,0,0,,4,3,75,0,,64.7,5,1,17.0
11,@Steelers,L 16 - 18,0,54,3,1,33.3,1,1,100,0,,65.0,4,0,
12,@Chargers,W 30 - 23,0,45,1,1,100.0,3,3,100,0,,65.2,5,1,46.0
