WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Patriots,W 25 - 24,0.0,25.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,65.0,2.0,3.0,26.7
15,@Broncos,L 13 - 31,0.0,49.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,,65.0,4.0,0.0,
16,Titans,W 38 - 30,0.0,31.0,2.0,1.0,50.0,5.0,5.0,100.0,0.0,,64.4,5.0,2.0,34.5
1,Texans,L 27 - 29,,,,,,,,,,,,,,
2,@Packers,L 10 - 16,0.0,34.0,2.0,1.0,50.0,1.0,1.0,100.0,0.0,,46.0,2.0,0.0,
3,Bears,W 21 - 16,0.0,0.0,0.0,0.0,,3.0,3.0,100.0,0.0,,64.2,3.0,1.0,26.0
4,Steelers,W 27 - 24,0.0,35.0,3.0,2.0,66.7,3.0,3.0,100.0,0.0,,65.0,6.0,0.0,
5,@Jaguars,L 34 - 37,0.0,37.0,2.0,2.0,100.0,4.0,4.0,100.0,0.0,,65.0,7.0,0.0,
6,@Titans,W 20 - 17,0.0,26.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,65.0,5.0,0.0,
7,Dolphins,W 16 - 10,0.0,52.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,,65.8,3.0,1.0,26.0
8,@Texans,L 20 - 23,0.0,46.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,65.6,3.0,2.0,39.0
9,@Vikings,L 13 - 21,0.0,54.0,3.0,2.0,66.7,1.0,1.0,100.0,0.0,,65.0,3.0,0.0,
10,Bills,L 20 - 30,0.0,27.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,66.2,3.0,2.0,24.5
11,@Jets,W 28 - 27,0.0,56.0,3.0,3.0,100.0,1.0,1.0,100.0,0.0,,65.3,6.0,1.0,24.0
12,Lions,L 6 - 24,0.0,29.0,2.0,2.0,100.0,0.0,0.0,,0.0,,65.0,3.0,0.0,
