WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,@Commanders,L 19 - 42,0.0,44.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,,62.8,1.0,4.0,22.5
14,Jaguars,L 6 - 10,0.0,46.0,2.0,2.0,100.0,0.0,0.0,,0.0,,58.7,1.0,2.0,17.0
15,Bengals,L 27 - 37,0.0,0.0,0.0,0.0,,3.0,3.0,100.0,0.0,,64.8,3.0,1.0,32.0
16,@Colts,L 30 - 38,,,,,,,,,,,,,,
1,@Bears,L 17 - 24,0.0,40.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,64.8,2.0,2.0,33.5
2,Jets,L 17 - 24,0.0,41.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,63.3,1.0,2.0,28.5
3,Packers,L 14 - 30,0.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,,65.0,3.0,0.0,
4,@Dolphins,W 31 - 12,0.0,53.0,5.0,5.0,100.0,2.0,2.0,100.0,0.0,,65.0,7.0,0.0,
6,Colts,L 17 - 20,0.0,44.0,1.0,1.0,100.0,2.0,2.0,100.0,0.0,,65.5,3.0,1.0,27.0
7,@Bills,L 10 - 34,0.0,25.0,1.0,1.0,100.0,1.0,1.0,100.0,0.0,,61.0,2.0,1.0,27.0
8,@Lions,L 14 - 52,0.0,0.0,0.0,0.0,,2.0,2.0,100.0,0.0,,64.0,2.0,1.0,72.0
9,Patriots,W 20 - 17,0.0,25.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,,65.0,5.0,0.0,
10,@Chargers,L 17 - 27,0.0,27.0,2.0,1.0,50.0,2.0,2.0,100.0,0.0,,51.2,2.0,1.0,56.0
11,Vikings,L 13 - 23,0.0,43.0,2.0,2.0,100.0,1.0,1.0,100.0,0.0,,65.0,3.0,1.0,35.0
12,@Texans,W 32 - 27,0.0,56.0,3.0,3.0,100.0,3.0,3.0,100.0,0.0,,65.2,2.0,4.0,36.8
