WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,49ers,W 35 - 10,0,0,1,0,0.0,5,5,100.0,0,,62.7,0,6,34.7
14,@Rams,L 42 - 44,0,0,0,0,,6,6,100.0,0,,56.7,3,3,27.3
15,@Lions,W 48 - 42,0,50,3,2,66.7,6,6,100.0,0,,65.0,9,0,
16,Patriots,W 24 - 21,0,50,1,1,100.0,3,3,100.0,0,,64.4,3,2,30.5
1,Cardinals,W 34 - 28,0,39,2,2,100.0,4,4,100.0,0,,62.7,3,3,41.0
2,@Dolphins,W 31 - 10,0,43,2,1,50.0,4,4,100.0,0,,65.0,6,0,
3,Jaguars,W 47 - 10,0,43,2,2,100.0,6,5,83.3,1,,65.0,8,1,27.0
4,@Ravens,L 10 - 35,0,50,2,1,50.0,1,1,100.0,0,,65.0,3,0,
5,@Texans,L 20 - 23,0,38,2,2,100.0,2,2,100.0,0,,66.0,4,1,31.0
6,@Jets,W 23 - 20,0,22,2,1,50.0,3,2,66.7,0,,61.0,4,1,33.0
7,Titans,W 34 - 10,0,30,2,2,100.0,4,4,100.0,0,,64.4,5,2,27.5
8,@Seahawks,W 31 - 10,0,27,1,1,100.0,4,4,100.0,0,,65.8,5,1,25.0
9,Dolphins,W 30 - 27,0,61,3,3,100.0,2,1,50.0,0,,65.6,5,2,27.5
10,@Colts,W 30 - 20,0,47,3,3,100.0,3,3,100.0,0,,65.0,6,0,
11,Chiefs,W 30 - 21,0,33,1,1,100.0,4,3,75.0,0,,65.0,5,0,
