WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Browns,W 41 - 32,0,36,2,2,100.0,5,5,100.0,0,,64.5,7,1,21.0
15,Colts,W 31 - 13,0,44,1,1,100.0,4,4,100.0,0,,65.0,6,0,
17,@Bengals,L 24 - 30,0,30,1,1,100.0,3,3,100.0,0,,66.2,3,3,32.7
16,@Chargers,L 27 - 34,0,55,2,2,100.0,3,3,100.0,0,,56.0,5,0,
1,@Seahawks,L 20 - 26,0,45,3,3,100.0,1,1,100.0,0,,65.2,2,3,24.7
2,Steelers,L 6 - 13,0,35,2,2,100.0,0,0,,0,,64.7,2,1,13.0
3,@Buccaneers,W 26 - 7,0,43,4,4,100.0,2,2,100.0,0,,65.6,5,2,27.0
4,@Jets,W 10 - 9,0,47,2,1,50.0,1,1,100.0,0,,64.3,1,2,25.0
5,Raiders,W 34 - 18,0,51,2,2,100.0,4,4,100.0,0,,58.7,4,1,23.0
6,Chargers,L 16 - 23,0,40,1,1,100.0,1,1,100.0,0,,51.8,3,0,
7,@Saints,W 33 - 10,0,52,4,4,100.0,3,3,100.0,0,,64.8,3,5,24.2
8,Panthers,W 28 - 14,0,0,0,0,,4,4,100.0,0,,65.0,5,0,
9,@Ravens,L 10 - 41,0,37,1,1,100.0,1,1,100.0,0,,62.7,2,1,30.0
10,@Chiefs,L 14 - 16,1,0,2,0,0.0,2,2,100.0,0,,64.3,2,1,25.0
11,Falcons,W 38 - 6,0,45,1,1,100.0,5,5,100.0,0,,65.0,7,0,
12,@Raiders,W 29 - 19,0,54,5,5,100.0,2,2,100.0,0,,64.9,7,1,59.0
