WK,OPP,RESULT,BLK,LNG,FG Att,FGM,PCT,XP Att,XPM,XPCT,XBLK,KO,AVG,TB,Ret,Avg
13,Chargers,L 13 - 17,0,41,3,2,66.7,1,1,100.0,0,,,,,
14,@Vikings,L 21 - 42,0,29,2,2,100.0,1,1,100.0,0,,,,,
15,@Raiders,W 15 - 9,0,48,3,2,66.7,1,1,100.0,0,,,,,
1,Steelers,L 10 - 18,0,24,1,1,100.0,1,1,100.0,0,,,,,
2,@Eagles,W 22 - 21,0,39,3,3,100.0,1,1,100.0,0,,,,,
3,Chiefs,L 17 - 22,0,54,1,1,100.0,2,2,100.0,0,,,,,
4,Saints,W 26 - 24,0,58,4,4,100.0,2,2,100.0,0,,64.6,2.0,5.0,26.6
5,Buccaneers,W 36 - 30,1,54,5,3,60.0,3,3,100.0,0,,64.7,2.0,4.0,36.5
6,@Panthers,W 38 - 20,0,35,3,3,100.0,3,3,100.0,0,,,,,
7,Seahawks,L 14 - 34,0,0,1,0,0.0,2,2,100.0,0,,64.5,1.0,1.0,23.0
8,@Buccaneers,W 31 - 26,0,39,2,1,50.0,4,4,100.0,0,,,,,
9,Cowboys,W 27 - 21,0,0,0,0,,3,3,100.0,0,,,,,
10,@Saints,L 17 - 20,1,27,4,1,25.0,2,2,100.0,0,,,,,
11,@Broncos,L 6 - 38,0,51,2,2,100.0,0,0,,0,,,,,
