YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Seattle Seahawks,16,551,387,70.2,4097,7.4,71,17,15,196,35.6,46,48,325,90.5
2023,Seattle Seahawks,15,499,323,64.7,3624,7.3,73,20,9,169,33.9,46,31,231,92.1
2022,Seattle Seahawks,17,572,399,69.8,4282,7.5,54,30,11,206,36.0,50,46,348,100.9
2021,Seattle Seahawks,4,95,65,68.4,702,7.4,84,5,1,31,32.6,11,13,117,103.0
2020,Seattle Seahawks,1,5,4,80.0,33,6.6,14,0,0,3,60.0,0,1,3,94.2
2018,Los Angeles Chargers,5,4,1,25.0,8,2.0,8,0,0,0,0.0,0,1,16,39.6
2017,New York Giants,2,36,21,58.3,212,5.9,47,1,0,8,22.2,3,3,12,84.5
2016,New York Jets,2,14,8,57.1,126,9.0,69,1,1,3,21.4,1,3,19,81.2
2015,New York Jets,1,42,27,64.3,265,6.3,28,2,1,14,33.3,3,3,19,87.9
2014,New York Jets,14,367,219,59.7,2525,6.9,74,13,13,118,32.2,33,28,175,77.5
2013,New York Jets,16,443,247,55.8,3046,6.9,69,12,21,143,32.3,43,43,315,66.5
TOTAL,,93,2628,1701,64.7,18920,7.2,84,101,72,891,33.9,236,220,1580,87.4
