YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New York Jets,15,22.0,107.0,4.9,18.0,0.0,7.0,31.8,0.0,0.0,0.0
2023,New York Jets,1,,,,,,,,,,
2022,Green Bay Packers,17,34.0,94.0,2.8,18.0,1.0,9.0,26.5,0.0,0.0,2.0
2021,Green Bay Packers,16,33.0,101.0,3.1,18.0,3.0,10.0,30.3,0.0,0.0,2.0
2020,Green Bay Packers,16,38.0,149.0,3.9,14.0,3.0,15.0,39.5,0.0,0.0,3.0
2019,Green Bay Packers,16,46.0,183.0,4.0,17.0,1.0,9.0,19.6,0.0,0.0,1.0
2018,Green Bay Packers,16,43.0,269.0,6.3,23.0,2.0,20.0,46.5,3.0,0.0,2.0
2017,Green Bay Packers,7,24.0,126.0,5.2,18.0,0.0,10.0,41.7,0.0,0.0,0.0
2016,Green Bay Packers,16,67.0,369.0,5.5,23.0,4.0,25.0,37.3,3.0,0.0,3.0
2015,Green Bay Packers,16,58.0,344.0,5.9,18.0,1.0,20.0,34.5,0.0,0.0,0.0
2014,Green Bay Packers,16,43.0,269.0,6.3,19.0,2.0,20.0,46.5,0.0,0.0,3.0
2013,Green Bay Packers,9,30.0,120.0,4.0,18.0,0.0,9.0,30.0,0.0,0.0,1.0
2012,Green Bay Packers,16,54.0,259.0,4.8,27.0,2.0,20.0,37.0,2.0,0.0,0.0
2011,Green Bay Packers,15,60.0,257.0,4.3,25.0,3.0,18.0,30.0,1.0,0.0,0.0
2010,Green Bay Packers,15,64.0,356.0,5.6,27.0,4.0,22.0,34.4,1.0,0.0,2.0
2009,Green Bay Packers,16,58.0,316.0,5.4,35.0,5.0,25.0,43.1,2.0,0.0,2.0
2008,Green Bay Packers,16,56.0,207.0,3.7,21.0,4.0,21.0,37.5,1.0,0.0,4.0
2007,Green Bay Packers,2,7.0,29.0,4.1,13.0,0.0,3.0,42.9,0.0,0.0,0.0
2006,Green Bay Packers,2,2.0,11.0,5.5,6.0,0.0,1.0,50.0,0.0,0.0,0.0
2005,Green Bay Packers,3,2.0,7.0,3.5,8.0,0.0,1.0,50.0,0.0,0.0,0.0
TOTAL,,246,741.0,3573.0,4.8,35.0,35.0,265.0,35.8,13.0,0.0,25.0
