YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,New Orleans Saints,10,17,71,4.2,13,1,4,23.5,0,0,1
2023,New Orleans Saints,17,32,40,1.2,10,0,4,12.5,0,0,2
2022,Las Vegas Raiders,15,24,102,4.2,20,0,10,41.7,1,0,1
2021,Las Vegas Raiders,17,40,108,2.7,22,0,9,22.5,1,0,4
2020,Las Vegas Raiders,16,39,140,3.6,18,3,16,41.0,0,0,3
2019,Las Vegas Raiders,16,27,82,3.0,15,2,7,25.9,0,0,6
2018,Las Vegas Raiders,16,24,47,2.0,15,1,5,20.8,0,0,1
2017,Las Vegas Raiders,15,23,66,2.9,32,0,5,21.7,1,0,4
2016,Las Vegas Raiders,15,39,70,1.8,13,0,5,12.8,0,0,3
2015,Las Vegas Raiders,16,33,138,4.2,24,0,7,21.2,1,0,2
2014,Las Vegas Raiders,16,29,92,3.2,41,0,10,34.5,1,1,6
TOTAL,,169,327,956,2.9,41,7,82,25.1,5,1,33
