YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Seattle Seahawks,16,51,258,5.1,34,2,16,31.4,3,0,4
2023,Seattle Seahawks,15,37,155,4.2,25,1,10,27.0,2,0,1
2022,Seattle Seahawks,17,68,366,5.4,25,1,24,35.3,2,0,3
2021,Seattle Seahawks,4,9,42,4.7,12,1,3,33.3,0,0,0
2020,Seattle Seahawks,1,2,-2,-1.0,0,0,0,0.0,0,0,1
2018,Los Angeles Chargers,5,8,2,0.2,9,0,0,0.0,0,0,0
2017,New York Giants,2,4,12,3.0,10,0,2,50.0,0,0,0
2016,New York Jets,2,2,9,4.5,7,0,1,50.0,0,0,0
2015,New York Jets,1,2,34,17.0,29,0,1,50.0,1,0,0
2014,New York Jets,14,59,238,4.0,18,1,18,30.5,0,0,5
2013,New York Jets,16,72,366,5.1,32,6,23,31.9,1,0,3
TOTAL,,93,314,1480,4.7,34,12,98,31.2,9,0,17
