YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Cleveland Browns,12,25,83,3.3,13,1,17,68.0,0,0,0
2023,New Orleans Saints,7,5,-6,-1.2,-1,0,0,0.0,0,0,0
2022,New Orleans Saints,3,5,16,3.2,6,0,0,0.0,0,0,2
2021,New Orleans Saints,7,32,166,5.2,20,1,17,53.1,1,0,0
2020,New Orleans Saints,4,8,-6,-0.8,3,0,0,0.0,0,0,0
2019,Tampa Bay Buccaneers,16,59,250,4.2,26,1,18,30.5,4,0,3
2018,Tampa Bay Buccaneers,11,49,281,5.7,18,1,18,36.7,0,0,4
2017,Tampa Bay Buccaneers,13,33,135,4.1,17,1,7,21.2,0,0,4
2016,Tampa Bay Buccaneers,16,53,165,3.1,14,1,10,18.9,0,0,4
2015,Tampa Bay Buccaneers,16,54,213,3.9,21,6,18,33.3,2,0,3
TOTAL,,105,323,1297,4.0,26,12,105,32.5,7,0,20
