YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Detroit Lions,16,35,56,1.6,10,0,9,25.7,0,0,0
2023,Detroit Lions,17,32,21,0.7,11,2,5,15.6,0,0,2
2022,Detroit Lions,17,29,73,2.5,14,0,5,17.2,0,0,2
2021,Detroit Lions,14,17,87,5.1,26,0,4,23.5,1,0,3
2020,Los Angeles Rams,15,51,99,1.9,10,4,12,23.5,0,0,2
2019,Los Angeles Rams,16,33,40,1.2,8,2,5,15.2,0,0,3
2018,Los Angeles Rams,16,43,108,2.5,16,2,9,20.9,0,0,2
2017,Los Angeles Rams,15,28,51,1.8,22,1,3,10.7,1,0,1
2016,Los Angeles Rams,7,8,16,2.0,6,1,1,12.5,0,0,0
TOTAL,,133,276,551,2.0,26,12,53,19.2,2,0,15
