YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Atlanta Falcons,14,23,0,0.0,13,0,2,8.7,0,0,5
2023,Minnesota Vikings,8,14,25,1.8,10,0,6,42.9,0,0,3
2022,Minnesota Vikings,17,31,97,3.1,19,2,11,35.5,0,0,2
2021,Minnesota Vikings,16,29,115,4.0,29,1,8,27.6,1,0,2
2020,Minnesota Vikings,16,32,156,4.9,16,1,16,50.0,0,0,1
2019,Minnesota Vikings,15,31,63,2.0,14,1,8,25.8,0,0,5
2018,Minnesota Vikings,16,44,123,2.8,19,1,12,27.3,0,0,4
2017,Washington Commanders,16,49,179,3.6,18,4,17,34.7,0,0,7
2016,Washington Commanders,16,34,96,2.8,19,4,14,41.2,0,0,3
2015,Washington Commanders,16,26,48,1.8,13,5,8,30.8,0,0,5
2014,Washington Commanders,6,7,20,2.9,12,0,3,42.9,0,0,0
2013,Washington Commanders,5,4,14,3.5,6,0,2,50.0,0,0,0
2012,Washington Commanders,3,3,22,7.3,17,0,1,33.3,0,0,0
TOTAL,,164,327,958,2.9,29,19,108,33.0,1,0,37
