YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Los Angeles Rams,16,30,41,1.4,15,0,10,33.3,0,0,2
2023,Los Angeles Rams,15,21,65,3.1,9,0,4,19.0,0,0,0
2022,Los Angeles Rams,9,13,9,0.7,4,1,3,23.1,0,0,1
2021,Los Angeles Rams,17,32,43,1.3,12,0,8,25.0,0,0,1
2020,Detroit Lions,16,29,112,3.9,17,0,12,41.4,0,0,0
2019,Detroit Lions,8,20,66,3.3,12,0,5,25.0,0,0,2
2018,Detroit Lions,16,25,71,2.8,10,0,8,32.0,0,0,1
2017,Detroit Lions,16,29,98,3.4,15,0,9,31.0,0,0,2
2016,Detroit Lions,16,37,207,5.6,24,2,15,40.5,1,0,0
2015,Detroit Lions,16,44,159,3.6,18,1,13,29.6,0,0,1
2014,Detroit Lions,16,43,93,2.2,18,2,8,18.6,0,0,2
2013,Detroit Lions,16,37,69,1.9,14,2,12,32.4,0,0,8
2012,Detroit Lions,16,35,126,3.6,11,4,11,31.4,0,0,3
2011,Detroit Lions,16,22,78,3.6,22,0,6,27.3,2,0,2
2010,Detroit Lions,3,4,11,2.8,9,1,1,25.0,0,0,1
2009,Detroit Lions,10,20,108,5.4,21,2,6,30.0,1,0,0
TOTAL,,222,441,1356,3.1,24,15,131,29.7,4,0,26
