YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Pittsburgh Steelers,10,39,139,3.6,19,2,14,35.9,0,0,2
2023,Denver Broncos,15,80,341,4.3,21,3,38,47.5,2,0,3
2022,Denver Broncos,15,55,277,5.0,19,3,21,38.2,0,0,2
2021,Seattle Seahawks,14,43,183,4.3,17,2,17,39.5,0,0,2
2020,Seattle Seahawks,16,83,513,6.2,38,2,25,30.1,6,0,4
2019,Seattle Seahawks,16,75,342,4.6,21,3,17,22.7,1,0,3
2018,Seattle Seahawks,16,67,376,5.6,40,0,23,34.3,3,1,3
2017,Seattle Seahawks,16,95,586,6.2,31,3,35,36.8,4,0,6
2016,Seattle Seahawks,16,72,259,3.6,18,1,16,22.2,0,0,2
2015,Seattle Seahawks,16,103,553,5.4,24,1,31,30.1,3,0,4
2014,Seattle Seahawks,16,118,849,7.2,55,6,45,38.1,8,3,5
2013,Seattle Seahawks,16,96,539,5.6,27,1,31,32.3,4,0,2
2012,Seattle Seahawks,16,94,489,5.2,25,4,30,31.9,2,0,2
TOTAL,,198,1020,5446,5.3,55,31,343,33.6,33,4,40
