YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,New York Jets,15,530,333,62.8,3511,6.6,71,24,8,175,33.0,45,33,259,90.8
2023,New York Jets,1,1,0,0.0,0,0.0,0,0,0,0,0.0,0,1,10,39.6
2022,Green Bay Packers,17,542,350,64.6,3695,6.8,58,26,12,177,32.7,53,32,258,91.1
2021,Green Bay Packers,16,531,366,68.9,4115,7.8,75,37,4,213,40.1,55,30,188,111.9
2020,Green Bay Packers,16,526,372,70.7,4299,8.2,78,48,5,216,41.1,57,20,182,121.5
2019,Green Bay Packers,16,569,353,62.0,4002,7.0,74,26,4,189,33.2,52,36,284,95.4
2018,Green Bay Packers,16,597,372,62.3,4442,7.4,75,25,2,200,33.5,55,49,353,97.6
2017,Green Bay Packers,7,238,154,64.7,1675,7.0,72,16,6,85,35.7,21,22,168,97.2
2016,Green Bay Packers,16,610,401,65.7,4428,7.3,66,40,7,222,36.4,57,35,246,104.2
2015,Green Bay Packers,16,572,347,60.7,3821,6.7,65,31,8,173,30.2,55,46,314,92.7
2014,Green Bay Packers,16,520,341,65.6,4381,8.4,80,38,5,219,42.1,59,28,174,112.2
2013,Green Bay Packers,9,290,193,66.6,2536,8.7,83,17,6,108,37.2,35,21,117,104.9
2012,Green Bay Packers,16,552,371,67.2,4295,7.8,73,39,8,211,38.2,54,51,293,108.0
2011,Green Bay Packers,15,502,343,68.3,4643,9.2,93,45,6,208,41.4,64,36,219,122.5
2010,Green Bay Packers,15,475,312,65.7,3922,8.3,86,28,11,183,38.5,54,31,193,101.2
2009,Green Bay Packers,16,541,350,64.7,4434,8.2,83,30,7,197,36.4,55,50,306,103.2
2008,Green Bay Packers,16,536,341,63.6,4038,7.5,71,28,13,182,34.0,48,34,231,93.8
2007,Green Bay Packers,2,28,20,71.4,218,7.8,43,1,0,9,32.1,2,3,24,106.0
2006,Green Bay Packers,2,15,6,40.0,46,3.1,16,0,0,2,13.3,0,3,18,48.2
2005,Green Bay Packers,3,16,9,56.2,65,4.1,16,0,1,3,18.8,0,3,28,39.8
TOTAL,,246,8191,5334,65.1,62566,7.6,93,499,113,2972,36.3,821,564,3865,102.7
