YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,New Orleans Saints,10,279,189,67.7,2145,7.7,71,15,5,93,33.3,27,8,48,101.0
2023,New Orleans Saints,17,548,375,68.4,3878,7.1,58,25,8,185,33.8,47,31,218,97.7
2022,Las Vegas Raiders,15,502,305,60.8,3522,7.0,60,24,14,161,32.1,47,27,191,86.3
2021,Las Vegas Raiders,17,626,428,68.4,4804,7.7,61,23,14,217,34.7,67,40,241,94.0
2020,Las Vegas Raiders,16,517,348,67.3,4103,7.9,85,27,9,193,37.3,54,26,150,101.4
2019,Las Vegas Raiders,16,513,361,70.4,4054,7.9,75,21,8,191,37.2,54,29,184,100.8
2018,Las Vegas Raiders,16,553,381,68.9,4049,7.3,66,19,10,197,35.6,52,51,299,93.9
2017,Las Vegas Raiders,15,515,323,62.7,3496,6.8,87,22,13,165,32.0,43,20,101,86.4
2016,Las Vegas Raiders,15,560,357,63.8,3937,7.0,75,28,6,189,33.8,50,16,79,96.7
2015,Las Vegas Raiders,16,573,350,61.1,3987,7.0,68,32,13,183,31.9,53,31,230,91.1
2014,Las Vegas Raiders,16,599,348,58.1,3270,5.5,77,21,12,163,27.2,28,24,149,76.6
TOTAL,,169,5785,3765,65.1,41245,7.1,87,257,112,1937,33.5,522,303,1890,92.8
