YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Cleveland Browns,12,296,181,61.2,2121,7.2,89,13,12,103,34.8,24,24,130,80.6
2023,New Orleans Saints,7,47,25,53.2,264,5.6,30,2,3,10,21.3,4,2,13,57.4
2022,New Orleans Saints,3,115,73,63.5,858,7.5,51,4,5,35,30.4,13,11,74,79.6
2021,New Orleans Saints,7,161,95,59.0,1170,7.3,72,14,3,56,34.8,11,11,69,102.8
2020,New Orleans Saints,4,11,7,63.6,75,6.8,19,0,0,5,45.4,0,2,11,83.5
2019,Tampa Bay Buccaneers,16,626,380,60.7,5109,8.2,71,33,30,243,38.8,75,47,282,84.3
2018,Tampa Bay Buccaneers,11,378,244,64.6,2992,7.9,64,19,14,152,40.2,34,27,157,90.2
2017,Tampa Bay Buccaneers,13,442,282,63.8,3504,7.9,70,19,11,180,40.7,32,33,207,92.2
2016,Tampa Bay Buccaneers,16,567,345,60.8,4090,7.2,45,28,18,214,37.7,43,35,239,86.1
2015,Tampa Bay Buccaneers,16,535,312,58.3,4042,7.6,68,22,15,201,37.6,57,27,190,84.2
TOTAL,,105,3178,1944,61.2,24225,7.6,89,154,111,1199,37.7,293,219,1372,86.4
