YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Atlanta Falcons,14,453,303,66.9,3508,7.7,60,18,16,163,36.0,42,28,201,88.6
2023,Minnesota Vikings,8,311,216,69.4,2331,7.5,62,18,5,112,36.0,34,17,110,103.8
2022,Minnesota Vikings,17,643,424,65.9,4547,7.1,66,29,14,230,35.8,47,46,329,92.5
2021,Minnesota Vikings,16,561,372,66.3,4221,7.5,64,33,7,192,34.2,60,28,197,103.1
2020,Minnesota Vikings,16,516,349,67.6,4265,8.3,71,35,13,212,41.1,58,39,256,105.0
2019,Minnesota Vikings,15,444,307,69.1,3603,8.1,66,26,6,165,37.2,52,28,206,107.4
2018,Minnesota Vikings,16,606,425,70.1,4298,7.1,75,30,10,218,36.0,47,40,262,99.7
2017,Washington Commanders,16,540,347,64.3,4093,7.6,74,27,13,191,35.4,59,41,342,93.8
2016,Washington Commanders,16,606,406,67.0,4917,8.1,80,25,12,225,37.1,69,23,190,97.2
2015,Washington Commanders,16,543,379,69.8,4166,7.7,78,29,11,204,37.6,50,26,186,101.6
2014,Washington Commanders,6,204,126,61.8,1710,8.4,81,10,9,75,36.8,27,8,70,86.4
2013,Washington Commanders,5,155,81,52.3,854,5.5,62,4,7,41,26.4,7,5,32,58.4
2012,Washington Commanders,3,48,33,68.8,466,9.7,77,4,3,20,41.7,6,3,27,101.6
TOTAL,,164,5630,3768,66.9,42979,7.6,81,288,126,2048,36.4,558,332,2408,97.4
