YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Los Angeles Rams,16,517,340,65.8,3762,7.3,69,20,8,176,34.0,45,28,213,93.6
2023,Los Angeles Rams,15,521,326,62.6,3965,7.6,80,24,11,187,35.9,62,30,205,92.5
2022,Los Angeles Rams,9,303,206,68.0,2087,6.9,75,10,8,105,34.6,21,29,208,87.4
2021,Los Angeles Rams,17,601,404,67.2,4886,8.1,79,41,17,233,38.8,65,30,243,102.9
2020,Detroit Lions,16,528,339,64.2,4084,7.7,73,26,10,205,38.8,54,38,254,96.3
2019,Detroit Lions,8,291,187,64.3,2499,8.6,66,19,5,117,40.2,41,18,137,106.0
2018,Detroit Lions,16,555,367,66.1,3777,6.8,67,21,11,198,35.7,44,40,255,89.9
2017,Detroit Lions,16,565,371,65.7,4446,7.9,71,29,10,209,37.0,61,47,287,99.3
2016,Detroit Lions,16,594,388,65.3,4327,7.3,73,24,10,217,36.5,52,37,216,93.3
2015,Detroit Lions,16,592,398,67.2,4262,7.2,57,32,13,223,37.7,49,44,251,97.0
2014,Detroit Lions,16,602,363,60.3,4257,7.1,73,22,12,209,34.7,53,45,254,85.7
2013,Detroit Lions,16,634,371,58.5,4650,7.3,87,29,19,221,34.9,62,23,168,84.2
2012,Detroit Lions,16,727,435,59.8,4967,6.8,57,20,17,264,36.3,63,29,212,79.8
2011,Detroit Lions,16,663,421,63.5,5038,7.6,73,41,16,243,36.6,64,36,257,97.2
2010,Detroit Lions,3,96,57,59.4,535,5.6,36,6,1,27,28.1,4,4,36,91.3
2009,Detroit Lions,10,377,201,53.3,2267,6.0,75,13,20,111,29.4,26,24,169,61.0
TOTAL,,222,8166,5174,63.4,59809,7.3,87,377,188,2945,36.1,766,502,3365,91.2
