YEAR,TEAM,G,ATT,COMP,PCT,YDS,AVG,LNG,TD,INT,1st,1st%,20+,SCK,SCKY,RATE
2024,Pittsburgh Steelers,10,305,197,64.6,2334,7.6,46,15,5,104,34.1,39,29,190,97.4
2023,Denver Broncos,15,447,297,66.4,3070,6.9,60,26,8,135,30.2,36,45,258,98.0
2022,Denver Broncos,15,483,292,60.5,3524,7.3,67,16,11,142,29.4,54,55,368,84.4
2021,Seattle Seahawks,14,400,259,64.8,3113,7.8,69,25,6,135,33.8,45,33,266,103.0
2020,Seattle Seahawks,16,558,384,68.8,4212,7.6,62,40,13,213,38.2,45,47,301,105.1
2019,Seattle Seahawks,16,516,341,66.1,4110,8.0,60,31,5,190,36.8,55,48,319,106.3
2018,Seattle Seahawks,16,427,280,65.6,3448,8.1,66,35,7,156,36.5,47,51,355,110.9
2017,Seattle Seahawks,16,553,339,61.3,3983,7.2,74,34,11,183,33.1,58,43,322,95.4
2016,Seattle Seahawks,16,546,353,64.6,4219,7.7,59,21,11,193,35.4,51,41,293,92.6
2015,Seattle Seahawks,16,483,329,68.1,4024,8.3,80,34,8,187,38.7,60,45,265,110.1
2014,Seattle Seahawks,16,452,285,63.0,3475,7.7,80,20,7,159,35.2,54,42,242,95.0
2013,Seattle Seahawks,16,407,257,63.1,3357,8.2,80,26,9,153,37.6,49,44,272,101.2
2012,Seattle Seahawks,16,393,252,64.1,3118,7.9,67,26,10,149,37.9,42,33,203,100.0
TOTAL,,198,5970,3865,64.7,45987,7.7,80,349,111,2099,35.2,635,556,3654,99.9
