WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Seahawks,L 21 - 26,21,39,185,4.7,2,1,2,16,73.1,2.0,6.0,3.0,0.0,,
14,@Dolphins,L 26 - 32,27,39,339,8.7,1,0,3,20,104.5,,,,,,
15,@Jaguars,W 32 - 25,16,30,289,9.6,3,0,1,14,120.0,6.0,45.0,7.5,0.0,,
16,Rams,L 9 - 19,28,42,256,6.1,1,0,1,10,91.0,1.0,6.0,6.0,0.0,1.0,1.0
1,@49ers,L 19 - 32,13,21,167,8.0,1,1,1,5,82.8,1.0,-1.0,-1.0,0.0,,
2,@Titans,W 24 - 17,18,30,176,5.9,2,0,2,12,98.8,2.0,1.0,0.5,0.0,,
3,Patriots,W 24 - 3,27,35,281,8.0,2,0,2,14,118.9,3.0,18.0,6.0,0.0,,
4,Broncos,L 9 - 10,24,42,225,5.4,0,0,5,41,72.0,5.0,26.0,5.2,0.0,,
5,@Vikings,L 17 - 23,29,54,244,4.5,2,3,3,26,54.9,,,,,1.0,0.0
6,Bills,L 20 - 23,23,35,294,8.4,2,1,3,22,99.0,,,,,1.0,0.0
7,@Steelers,L 15 - 37,24,39,276,7.1,1,2,1,7,70.0,,,,,,
8,@Patriots,L 22 - 25,17,28,233,8.3,2,0,1,9,111.2,,,,,0.0,0.0
9,Texans,W 21 - 13,22,32,211,6.6,3,0,2,18,118.1,1.0,-1.0,-1.0,0.0,,
10,@Cardinals,L 6 - 31,22,35,151,4.3,0,0,3,23,72.4,,,,,1.0,1.0
11,Colts,L 27 - 28,22,29,184,6.3,2,0,3,22,114.7,1.0,7.0,7.0,0.0,1.0,0.0
