WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Panthers,W 26 - 23,21,33,235,7.1,1,2,4,31,69.6,3.0,8.0,2.7,0.0,2.0,0.0
14,Raiders,W 28 - 13,18,29,295,10.2,3,2,4,27,101.9,2.0,12.0,6.0,0.0,1.0,1.0
15,@Chargers,W 40 - 17,22,27,288,10.7,4,1,1,5,135.3,2.0,25.0,12.5,0.0,,
16,@Cowboys,L 24 - 26,31,43,303,7.0,2,1,4,27,97.3,3.0,42.0,14.0,0.0,1.0,0.0
17,Panthers,W 48 - 14,27,32,359,11.2,5,0,2,10,153.0,1.0,2.0,2.0,0.0,,
1,Commanders,W 37 - 20,24,30,289,9.6,4,0,1,9,146.4,3.0,21.0,7.0,0.0,,
2,@Lions,W 20 - 16,12,19,185,9.7,1,1,5,39,90.9,5.0,34.0,6.8,1.0,2.0,0.0
3,Broncos,L 7 - 26,25,33,163,4.9,1,1,7,31,83.3,,,,,,
4,Eagles,W 33 - 16,30,47,347,7.4,2,0,2,13,100.2,4.0,10.0,2.5,1.0,1.0,0.0
5,@Falcons,L 30 - 36,19,24,180,7.5,3,0,1,7,137.5,6.0,42.0,7.0,0.0,,
6,@Saints,W 51 - 27,24,36,325,9.0,4,3,1,8,97.6,3.0,29.0,9.7,0.0,,
7,Ravens,L 31 - 41,31,45,370,8.2,3,2,3,14,97.4,5.0,22.0,4.4,0.0,,
8,Falcons,L 26 - 31,37,50,330,6.6,3,2,0,0,94.6,3.0,11.0,3.7,0.0,1.0,0.0
9,@Chiefs,L 24 - 30,23,31,200,6.4,2,0,2,11,112.3,4.0,20.0,5.0,0.0,,
10,49ers,L 20 - 23,18,29,116,4.0,1,0,2,11,82.0,3.0,3.0,1.0,0.0,3.0,0.0
12,@Giants,W 30 - 7,24,30,294,9.8,0,0,0,0,107.5,4.0,29.0,7.2,1.0,2.0,1.0
