WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Browns,W 41 - 32,18,35,294,8.4,1,2,0,0,65.6,3,4,1.3,0,,
15,Colts,W 31 - 13,20,33,130,3.9,3,3,1,9,61.4,8,23,2.9,0,,
17,@Bengals,L 24 - 30,24,31,219,7.1,3,1,2,13,114.8,7,31,4.4,0,1.0,0.0
16,@Chargers,L 27 - 34,29,40,263,6.6,2,0,2,18,106.6,3,25,8.3,0,1.0,0.0
1,@Seahawks,L 20 - 26,26,42,138,3.3,0,2,2,6,47.5,5,35,7.0,1,,
2,Steelers,L 6 - 13,20,35,246,7.0,0,2,2,15,55.2,4,25,6.2,0,,
3,@Buccaneers,W 26 - 7,25,36,216,6.0,0,0,0,0,85.0,9,47,5.2,1,,
4,@Jets,W 10 - 9,12,25,60,2.4,1,0,0,0,67.9,5,3,0.6,0,,
5,Raiders,W 34 - 18,19,27,206,7.6,2,0,3,26,117.2,8,9,1.1,1,0.0,0.0
6,Chargers,L 16 - 23,19,33,216,6.6,2,1,2,10,84.9,6,61,10.2,0,,
7,@Saints,W 33 - 10,16,26,164,6.3,0,0,0,0,79.6,10,75,7.5,0,,
8,Panthers,W 28 - 14,28,37,284,7.7,3,0,2,17,124.2,5,4,0.8,1,,
9,@Ravens,L 10 - 41,19,33,223,6.8,0,1,4,28,65.6,6,36,6.0,0,,
10,@Chiefs,L 14 - 16,22,30,215,7.2,2,0,2,33,115.3,3,-5,-1.7,0,1.0,0.0
11,Falcons,W 38 - 6,28,33,307,9.3,4,0,1,12,145.0,2,5,2.5,0,,
12,@Raiders,W 29 - 19,25,42,273,6.5,2,0,1,11,94.6,1,5,5.0,0,,
