WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Bills,L 10 - 35,11.0,18.0,94.0,5.2,0.0,0.0,2.0,8.0,74.8,2.0,4.0,2.0,0.0,1.0,1.0
14,Bears,W 38 - 13,20.0,25.0,325.0,13.0,2.0,0.0,1.0,4.0,145.4,5.0,11.0,2.2,0.0,,
15,Rams,L 6 - 12,14.0,31.0,142.0,4.6,0.0,1.0,3.0,14.0,45.4,1.0,3.0,3.0,0.0,,
16,@Dolphins,L 17 - 29,26.0,40.0,313.0,7.8,2.0,1.0,3.0,20.0,95.1,4.0,26.0,6.5,0.0,,
1,Jets,W 32 - 19,19.0,29.0,231.0,8.0,0.0,0.0,2.0,6.0,89.9,1.0,11.0,11.0,0.0,,
2,@Vikings,L 17 - 23,28.0,36.0,319.0,8.9,1.0,1.0,6.0,22.0,101.3,2.0,12.0,6.0,0.0,1.0,1.0
3,@Rams,L 24 - 27,22.0,30.0,292.0,9.7,3.0,0.0,1.0,4.0,137.1,10.0,41.0,4.1,0.0,1.0,1.0
4,Patriots,W 30 - 13,15.0,27.0,288.0,10.7,1.0,1.0,1.0,5.0,89.7,5.0,11.0,2.2,0.0,2.0,0.0
5,Cardinals,L 23 - 24,19.0,35.0,244.0,7.0,1.0,2.0,2.0,13.0,62.1,4.0,33.0,8.2,0.0,,
6,@Seahawks,W 36 - 24,18.0,28.0,255.0,9.1,3.0,0.0,0.0,0.0,129.3,4.0,19.0,4.8,0.0,,
7,Chiefs,L 18 - 28,17.0,31.0,212.0,6.8,0.0,3.0,1.0,3.0,36.7,8.0,27.0,3.4,2.0,,
8,Cowboys,W 30 - 24,18.0,26.0,260.0,10.0,1.0,0.0,2.0,14.0,114.3,8.0,56.0,7.0,1.0,1.0,0.0
10,@Buccaneers,W 23 - 20,25.0,36.0,353.0,9.8,2.0,0.0,3.0,15.0,119.3,4.0,17.0,4.2,0.0,1.0,0.0
11,Seahawks,L 17 - 20,21.0,28.0,159.0,5.7,1.0,1.0,2.0,13.0,85.3,5.0,40.0,8.0,1.0,,
12,@Packers,L 10 - 38,,,,,,,,,,,,,,,
