WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Lions,L 20 - 23,20,39,256,6.6,3,0,5,33,97.8,4,39,9.8,0,,
14,@49ers,L 13 - 38,17,23,134,5.8,2,0,7,46,116.9,4,27,6.8,0,1.0,1.0
15,@Vikings,L 12 - 30,18,31,191,6.2,1,0,2,25,86.9,4,3,0.8,0,1.0,1.0
16,Lions,L 17 - 34,26,40,334,8.4,2,0,2,11,107.7,6,34,5.7,0,2.0,1.0
17,Seahawks,L 3 - 6,16,28,122,4.4,0,1,7,46,53.0,5,37,7.4,0,1.0,0.0
1,Titans,W 24 - 17,14,29,93,3.2,0,0,2,29,55.7,5,15,3.0,0,1.0,0.0
2,@Texans,L 13 - 19,23,37,174,4.7,0,2,7,40,51.0,5,44,8.8,0,,
3,@Colts,L 16 - 21,33,52,363,7.0,2,2,4,31,80.8,1,8,8.0,0,1.0,1.0
4,Rams,W 24 - 18,17,23,157,6.8,1,0,3,24,106.6,5,12,2.4,0,1.0,0.0
5,Panthers,W 36 - 10,20,29,304,10.5,2,0,1,8,126.2,5,34,6.8,0,,
6,Jaguars,W 35 - 16,23,29,226,7.8,4,1,3,5,124.4,4,56,14.0,0,,
8,@Commanders,L 15 - 18,10,24,131,5.5,0,0,3,26,59.6,9,47,5.2,0,1.0,1.0
9,@Cardinals,L 9 - 29,22,41,217,5.3,0,0,6,45,68.8,4,5,1.2,0,,
10,Patriots,L 3 - 19,16,30,120,4.0,0,0,9,51,63.2,2,15,7.5,0,,
11,Packers,L 19 - 20,23,31,231,7.4,0,0,3,19,95.0,9,70,7.8,0,,
12,Vikings,L 27 - 30,32,47,340,7.2,2,0,3,20,103.2,6,33,5.5,0,,
