WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Rams,L 14 - 21,24.0,37.0,184.0,5.0,1.0,0.0,0.0,0.0,85.9,2.0,12.0,6.0,0.0,,
14,@Giants,W 14 - 11,20.0,31.0,219.0,7.1,1.0,1.0,1.0,9.0,82.6,2.0,12.0,6.0,0.0,1.0,0.0
15,Commanders,L 19 - 20,,,,,,,,,,,,,,,
16,@Packers,L 0 - 34,,,,,,,,,,,,,,,
1,Panthers,W 47 - 10,19.0,23.0,200.0,8.7,3.0,0.0,1.0,1.0,142.5,2.0,13.0,6.5,0.0,,
2,@Cowboys,W 44 - 19,11.0,16.0,243.0,15.2,2.0,1.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,,
3,Eagles,L 12 - 15,14.0,25.0,142.0,5.7,1.0,1.0,1.0,12.0,69.1,2.0,3.0,1.5,0.0,,
4,@Falcons,L 24 - 26,28.0,36.0,239.0,6.6,0.0,1.0,1.0,4.0,82.8,3.0,5.0,1.7,0.0,,
5,@Chiefs,L 13 - 26,18.0,28.0,165.0,5.9,2.0,1.0,1.0,8.0,89.1,,,,,,
6,Buccaneers,L 27 - 51,,,,,,,,,,,,,,,
7,Broncos,L 10 - 33,,,,,,,,,,,,,,,
8,@Chargers,L 8 - 26,,,,,,,,,,,,,,,
9,@Panthers,L 22 - 23,18.0,31.0,236.0,7.6,1.0,0.0,1.0,6.0,92.9,,,,,,
10,Falcons,W 20 - 17,16.0,25.0,269.0,10.8,2.0,0.0,0.0,0.0,126.9,4.0,17.0,4.2,0.0,1.0,0.0
11,Browns,W 35 - 14,21.0,27.0,248.0,9.2,2.0,0.0,1.0,7.0,129.6,1.0,8.0,8.0,0.0,1.0,0.0
