WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Colts,L 24 - 25,24.0,30.0,238.0,7.9,1.0,1.0,4.0,16.0,96.9,5.0,59.0,11.8,0.0,,
15,@Cardinals,L 17 - 30,19.0,23.0,202.0,8.8,1.0,1.0,2.0,7.0,99.6,4.0,14.0,3.5,1.0,1.0,0.0
16,@Bills,L 21 - 24,22.0,36.0,261.0,7.2,2.0,1.0,2.0,8.0,90.2,6.0,30.0,5.0,0.0,2.0,1.0
17,Chargers,L 7 - 40,12.0,22.0,117.0,5.3,1.0,0.0,4.0,30.0,84.8,6.0,32.0,5.3,0.0,1.0,1.0
1,@Bengals,W 16 - 10,,,,,,,,,,,,,,,
2,Seahawks,L 20 - 23,,,,,,,,,,,,,,,
3,@Jets,L 3 - 24,4.0,8.0,22.0,2.8,0.0,0.0,2.0,13.0,56.2,2.0,12.0,6.0,0.0,,
4,@49ers,L 13 - 30,,,,,,,,,,,,,,,
5,Dolphins,L 10 - 15,,,,,,,,,,,,,,,
6,Texans,L 21 - 41,20.0,33.0,243.0,7.4,3.0,2.0,4.0,34.0,88.3,5.0,38.0,7.6,0.0,1.0,1.0
7,@Jaguars,L 16 - 32,26.0,37.0,276.0,7.5,2.0,0.0,2.0,19.0,109.7,3.0,18.0,6.0,0.0,,
8,Jets,W 25 - 22,3.0,6.0,23.0,3.8,0.0,0.0,1.0,8.0,59.7,3.0,46.0,15.3,1.0,,
9,@Titans,L 17 - 20,29.0,41.0,206.0,5.0,1.0,2.0,4.0,21.0,69.8,8.0,95.0,11.9,0.0,2.0,1.0
10,@Bears,W 19 - 3,15.0,25.0,184.0,7.4,1.0,1.0,1.0,0.0,79.4,4.0,24.0,6.0,0.0,0.0,0.0
11,Rams,L 22 - 28,29.0,39.0,282.0,7.2,2.0,1.0,3.0,25.0,100.6,3.0,27.0,9.0,0.0,1.0,1.0
12,@Dolphins,L 15 - 34,22.0,37.0,222.0,6.0,1.0,1.0,4.0,39.0,74.4,5.0,26.0,5.2,0.0,1.0,1.0
