WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Jets,W 26 - 21,20,31,206,6.6,1,0,3,31,94.3,2,2,1.0,0,,
14,@Cardinals,W 30 - 18,24,30,233,7.8,1,0,0,0,110.1,1,0,0.0,0,1.0,0.0
15,Packers,L 13 - 30,15,19,149,7.8,0,1,3,24,77.4,1,5,5.0,0,,
16,Vikings,L 24 - 27,31,43,314,7.3,3,2,2,12,96.5,1,8,8.0,0,,
17,@Bears,W 6 - 3,17,23,160,7.0,0,0,3,17,92.7,3,19,6.3,0,2.0,0.0
1,Broncos,W 26 - 20,18,25,171,6.8,1,1,2,13,87.2,4,30,7.5,1,,
2,@Patriots,W 23 - 20,33,44,327,7.4,1,0,3,15,103.1,5,8,1.6,0,,
3,Dolphins,W 24 - 3,26,34,289,8.5,1,2,3,19,86.5,2,-2,-1.0,0,1.0,0.0
4,@Lions,L 29 - 42,38,56,395,7.0,1,1,3,12,86.5,5,38,7.6,0,,
5,Giants,L 20 - 29,28,40,284,7.1,1,0,7,53,98.3,4,72,18.0,0,,
6,49ers,L 24 - 36,30,52,312,6.0,1,2,1,6,65.5,1,0,0.0,0,,
7,@Falcons,W 34 - 14,18,28,207,7.4,2,0,1,6,110.3,4,15,3.8,0,1.0,0.0
8,Bills,L 10 - 31,21,29,212,7.3,0,1,1,11,78.5,5,16,3.2,0,1.0,0.0
9,Rams,L 20 - 26,21,34,363,10.7,3,3,7,46,90.7,6,16,2.7,0,1.0,0.0
11,@49ers,W 20 - 17,25,32,221,6.9,0,1,4,26,82.4,4,29,7.2,1,1.0,0.0
12,Cardinals,W 16 - 6,22,31,254,8.2,1,1,5,34,92.7,3,2,0.7,0,1.0,0.0
