WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Ravens,W 24 - 19,11,19,118,6.2,1,0,2,6,93.8,9,29,3.2,1,1.0,0.0
14,Panthers,W 22 - 16,14,21,108,5.1,2,0,4,25,110.8,8,59,7.4,1,1.0,0.0
15,Steelers,W 27 - 13,25,32,290,9.1,2,0,3,20,125.3,15,45,3.0,1,1.0,1.0
16,@Commanders,L 33 - 36,1,4,11,2.8,0,0,0,0,39.6,3,41,13.7,0,,
1,Packers,W 34 - 29,20,34,278,8.2,2,2,2,12,80.3,13,33,2.5,0,2.0,1.0
2,Falcons,L 21 - 22,23,30,183,6.1,1,1,1,4,88.6,13,85,6.5,1,,
3,@Saints,W 15 - 12,29,38,311,8.2,0,1,4,23,88.8,8,25,3.1,0,1.0,1.0
4,@Buccaneers,L 16 - 33,18,30,158,5.3,1,0,6,44,85.1,8,20,2.5,1,2.0,1.0
6,Browns,W 20 - 16,16,25,264,10.6,2,0,1,8,126.1,14,33,2.4,0,0.0,0.0
7,@Giants,W 28 - 3,10,14,114,8.1,1,0,4,36,119.4,7,22,3.1,2,,
8,@Bengals,W 37 - 17,16,20,236,11.8,1,0,0,0,132.5,10,37,3.7,3,,
9,Jaguars,W 28 - 23,18,24,230,9.6,2,0,3,20,132.3,13,67,5.2,1,,
10,@Cowboys,W 34 - 6,14,20,202,10.1,2,1,5,46,115.0,7,56,8.0,2,1.0,1.0
11,Commanders,W 26 - 18,18,28,221,7.9,0,0,2,15,88.5,10,39,3.9,1,,
12,@Rams,W 37 - 20,15,22,179,8.1,1,0,1,12,108.0,12,39,3.2,0,,
