WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Steelers,L 38 - 44,28,38,309,8.1,3,1,4,27,112.7,2.0,9.0,4.5,0.0,2.0,2.0
14,@Cowboys,W 27 - 20,33,44,369,8.4,3,1,2,10,112.8,2.0,-2.0,-1.0,0.0,1.0,0.0
15,@Titans,W 37 - 27,26,37,271,7.3,3,2,1,2,95.7,,,,,1.0,1.0
17,Broncos,W 30 - 24,39,49,412,8.4,3,0,7,28,122.1,4.0,25.0,6.2,1.0,,
1,Patriots,L 10 - 16,21,29,164,5.7,0,0,3,10,86.0,4.0,15.0,3.8,0.0,1.0,0.0
2,@Chiefs,L 25 - 26,23,36,258,7.2,2,0,3,12,103.7,6.0,9.0,1.5,0.0,2.0,1.0
3,Commanders,L 33 - 38,29,38,324,8.5,3,0,2,12,127.5,1.0,4.0,4.0,0.0,,
4,@Panthers,W 34 - 24,22,31,232,7.5,2,1,0,0,100.5,1.0,10.0,10.0,0.0,,
5,Ravens,L 38 - 41,30,39,392,10.0,5,1,3,21,137.0,2.0,1.0,0.5,0.0,,
6,@Giants,W 17 - 7,19,28,208,7.4,0,0,4,25,89.6,4.0,55.0,13.8,1.0,,
7,@Browns,W 21 - 14,15,25,181,7.2,2,0,3,17,108.9,3.0,-3.0,-1.0,0.0,,
8,Eagles,L 17 - 37,26,37,234,6.3,1,1,1,12,84.7,3.0,15.0,5.0,0.0,,
9,Raiders,W 41 - 24,27,39,251,6.4,5,1,1,8,115.5,3.0,11.0,3.7,0.0,,
10,@Ravens,L 34 - 35,34,56,428,7.6,4,0,3,7,108.3,2.0,6.0,3.0,0.0,2.0,0.0
11,@Chargers,L 27 - 34,28,50,356,7.1,3,0,3,14,98.4,2.0,28.0,14.0,0.0,,
16,Browns,W 24 - 6,23,30,252,8.4,3,0,4,42,134.3,2.0,19.0,9.5,0.0,1.0,1.0
