WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Dolphins,W 30 - 17,21.0,28.0,274.0,9.8,2.0,0.0,0.0,0.0,129.2,,,,,,
14,@Lions,L 31 - 34,12.0,20.0,206.0,10.3,1.0,0.0,1.0,7.0,111.7,4.0,23.0,5.8,0.0,,
15,@Seahawks,W 30 - 13,20.0,27.0,229.0,8.5,2.0,0.0,0.0,0.0,123.8,1.0,4.0,4.0,0.0,,
16,Saints,W 34 - 0,16.0,28.0,182.0,6.5,1.0,0.0,0.0,0.0,88.7,1.0,2.0,2.0,0.0,,
1,@Eagles,L 29 - 34,17.0,34.0,260.0,7.6,2.0,1.0,1.0,5.0,83.0,,,,,,
2,Colts,W 16 - 10,,,,,,,,,,,,,,,
3,@Titans,W 30 - 14,,,,,,,,,,,,,,,
4,Vikings,L 29 - 31,32.0,54.0,389.0,7.2,4.0,3.0,1.0,10.0,83.0,1.0,6.0,6.0,0.0,,
5,@Rams,W 24 - 19,15.0,26.0,224.0,8.6,2.0,1.0,2.0,22.0,95.7,3.0,10.0,3.3,0.0,1.0,0.0
6,Cardinals,W 34 - 13,22.0,32.0,258.0,8.1,4.0,1.0,0.0,0.0,119.5,5.0,13.0,2.6,0.0,,
7,Texans,W 24 - 22,24.0,33.0,220.0,6.7,3.0,2.0,3.0,25.0,95.5,,,,,,
8,@Jaguars,W 30 - 27,14.0,22.0,196.0,8.9,0.0,1.0,0.0,0.0,73.3,1.0,-1.0,-1.0,0.0,,
9,Lions,L 14 - 24,23.0,39.0,273.0,7.0,0.0,1.0,0.0,0.0,69.7,3.0,0.0,0.0,0.0,3.0,0.0
11,@Bears,W 20 - 19,13.0,17.0,261.0,15.4,1.0,1.0,1.0,1.0,113.0,4.0,18.0,4.5,1.0,,
12,49ers,W 38 - 10,13.0,23.0,163.0,7.1,2.0,0.0,2.0,7.0,107.7,1.0,2.0,2.0,0.0,,
