WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,49ers,W 35 - 10,13,17,148,8.7,2,0,0,0,141.3,3,18,6.0,1,,
14,@Rams,L 42 - 44,22,37,342,9.2,3,0,0,0,117.2,10,82,8.2,3,,
15,@Lions,W 48 - 42,23,34,362,10.6,2,0,0,0,122.4,11,68,6.2,2,,
16,Patriots,W 24 - 21,16,29,154,5.3,1,1,1,2,67.3,6,30,5.0,0,,
1,Cardinals,W 34 - 28,18,23,232,10.1,2,0,2,10,137.7,9,39,4.3,2,1.0,1.0
2,@Dolphins,W 31 - 10,13,19,139,7.3,1,0,0,0,107.1,2,2,1.0,0,1.0,0.0
3,Jaguars,W 47 - 10,23,30,263,8.8,4,0,0,0,142.1,6,44,7.3,0,,
4,@Ravens,L 10 - 35,16,29,180,6.2,0,0,3,27,73.9,5,21,4.2,0,1.0,1.0
5,@Texans,L 20 - 23,9,30,131,4.4,1,0,1,5,56.4,4,54,13.5,0,,
6,@Jets,W 23 - 20,19,25,215,8.6,2,0,2,5,127.9,9,18,2.0,1,1.0,0.0
7,Titans,W 34 - 10,21,33,323,9.8,2,0,1,8,116.1,3,1,0.3,0,,
8,@Seahawks,W 31 - 10,24,34,283,8.3,2,1,1,2,102.9,7,25,3.6,0,1.0,0.0
9,Dolphins,W 30 - 27,25,39,235,6.0,3,1,1,4,95.6,2,7,3.5,0,,
10,@Colts,W 30 - 20,22,37,280,7.6,0,2,2,0,60.6,8,50,6.2,1,,
11,Chiefs,W 30 - 21,27,40,262,6.6,1,1,0,0,83.5,12,55,4.6,1,,
