WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Falcons,W 17 - 13,16,23,147,6.4,0,0,5,19,86.7,5.0,1.0,0.2,0.0,,
14,@Chiefs,L 17 - 19,21,30,213,7.1,1,0,3,19,101.1,4.0,12.0,3.0,0.0,,
15,Buccaneers,L 17 - 40,21,33,195,5.9,2,1,3,25,87.3,,,,,,
17,@Patriots,W 40 - 7,26,38,281,7.4,3,0,0,0,116.2,3.0,12.0,4.0,0.0,,
16,Broncos,W 34 - 27,23,31,284,9.2,2,1,2,21,110.2,8.0,28.0,3.5,0.0,,
1,Raiders,W 22 - 10,17,26,144,5.5,1,0,1,4,92.5,4.0,6.0,1.5,0.0,,
2,@Panthers,W 26 - 3,14,20,130,6.5,2,1,1,0,100.0,6.0,18.0,3.0,0.0,1.0,1.0
3,@Steelers,L 10 - 20,12,18,125,6.9,1,0,2,14,105.1,1.0,0.0,0.0,0.0,1.0,0.0
4,Chiefs,L 10 - 17,16,27,179,6.6,1,0,2,10,91.4,3.0,0.0,0.0,0.0,1.0,0.0
6,@Broncos,W 23 - 16,21,34,237,7.0,1,0,3,15,92.4,4.0,2.0,0.5,0.0,1.0,0.0
7,@Cardinals,L 15 - 17,27,39,349,9.0,0,0,3,13,97.1,2.0,8.0,4.0,0.0,,
8,Saints,W 26 - 8,20,32,279,8.7,2,0,3,23,111.3,4.0,49.0,12.2,0.0,,
9,@Browns,W 27 - 10,18,27,282,10.4,2,0,6,36,125.8,3.0,2.0,0.7,0.0,,
10,Titans,W 27 - 17,14,18,164,9.1,1,0,0,0,123.2,9.0,32.0,3.6,1.0,,
11,Bengals,W 34 - 27,17,36,297,8.2,2,0,2,17,94.3,5.0,65.0,13.0,0.0,1.0,1.0
12,Ravens,L 23 - 30,21,36,218,6.1,0,0,4,16,75.9,4.0,29.0,7.2,1.0,1.0,0.0
