WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Chargers,L 13 - 17,24.0,39.0,245.0,6.3,0.0,4.0,1.0,11.0,40.0,1.0,3.0,3.0,0.0,1.0,0.0
14,@Vikings,L 21 - 42,23.0,37.0,344.0,9.3,0.0,2.0,1.0,6.0,70.1,,,,,,
15,@Raiders,W 15 - 9,11.0,17.0,112.0,6.6,1.0,1.0,3.0,19.0,78.6,3.0,0.0,0.0,0.0,1.0,0.0
16,Giants,W 34 - 7,,,,,,,,,,,,,,,
1,Steelers,L 10 - 18,16.0,26.0,155.0,6.0,1.0,2.0,2.0,18.0,59.0,1.0,0.0,0.0,0.0,,
2,@Eagles,W 22 - 21,20.0,29.0,241.0,8.3,2.0,0.0,1.0,8.0,117.2,4.0,-1.0,-0.2,0.0,1.0,0.0
3,Chiefs,L 17 - 22,20.0,29.0,230.0,7.9,1.0,1.0,2.0,1.0,89.7,1.0,-1.0,-1.0,0.0,2.0,0.0
4,Saints,W 26 - 24,21.0,35.0,238.0,6.8,0.0,1.0,1.0,11.0,68.5,,,,,1.0,0.0
5,Buccaneers,W 36 - 30,42.0,58.0,509.0,8.8,4.0,1.0,4.0,32.0,114.8,,,,,,
6,@Panthers,W 38 - 20,19.0,30.0,225.0,7.5,1.0,0.0,0.0,0.0,97.2,4.0,-5.0,-1.2,0.0,,
7,Seahawks,L 14 - 34,24.0,35.0,232.0,6.6,1.0,2.0,3.0,32.0,72.6,1.0,-1.0,-1.0,0.0,1.0,1.0
8,@Buccaneers,W 31 - 26,23.0,29.0,276.0,9.5,4.0,0.0,2.0,11.0,145.9,3.0,16.0,5.3,0.0,1.0,0.0
9,Cowboys,W 27 - 21,19.0,24.0,222.0,9.2,3.0,0.0,2.0,12.0,144.8,4.0,-11.0,-2.8,0.0,2.0,1.0
10,@Saints,L 17 - 20,23.0,38.0,306.0,8.0,0.0,1.0,3.0,19.0,75.1,,,,,2.0,0.0
11,@Broncos,L 6 - 38,18.0,27.0,173.0,6.4,0.0,1.0,3.0,21.0,68.9,1.0,0.0,0.0,0.0,1.0,0.0
