WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Vikings,L 22 - 23,31,45,260,5.8,1,2,1,8,72.4,7,48,6.9,0,1.0,0.0
14,Seahawks,L 18 - 30,25,38,259,6.8,2,2,2,24,80.9,3,16,5.3,0,,
15,Patriots,W 30 - 17,23,30,224,7.5,0,0,0,0,97.1,5,11,2.2,0,,
16,@Panthers,L 30 - 36,20,32,202,6.3,1,1,3,26,77.9,8,63,7.9,1,1.0,1.0
17,@Rams,L 9 - 13,33,48,321,6.7,1,2,4,38,76.8,4,32,8.0,0,,
1,@Bills,L 28 - 34,21,31,162,5.2,1,0,4,16,91.1,5,57,11.4,0,1.0,1.0
2,Rams,W 41 - 10,17,21,266,12.7,3,0,1,8,158.3,5,59,11.8,0,,
3,Lions,L 13 - 20,21,34,207,6.1,1,1,1,7,76.5,5,45,9.0,0,,
4,Commanders,L 14 - 42,16,22,142,6.4,1,0,4,27,104.7,1,3,3.0,0,,
5,@49ers,W 24 - 23,19,30,195,6.5,1,1,1,6,79.2,7,83,11.9,1,1.0,0.0
6,@Packers,L 13 - 34,22,32,214,6.7,1,0,0,0,97.7,7,14,2.0,0,1.0,1.0
7,Chargers,W 17 - 15,14,26,145,5.6,1,1,0,0,67.0,6,64,10.7,1,,
8,@Dolphins,W 28 - 27,26,36,307,8.5,2,0,0,0,116.3,5,19,3.8,0,1.0,0.0
9,Bears,W 29 - 9,13,20,154,7.7,0,0,3,17,88.3,2,6,3.0,0,1.0,1.0
10,Jets,W 31 - 6,22,24,266,11.1,1,0,1,7,126.7,3,21,7.0,2,1.0,0.0
12,@Seahawks,L 6 - 16,24,37,285,7.7,0,1,5,36,77.0,2,9,4.5,0,,
