WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Saints,W 21 - 14,14,24,183,7.6,2,0,2,17,110.2,4.0,3.0,0.8,0.0,,
14,Bills,W 44 - 42,23,30,320,10.7,2,0,0,0,132.6,,,,,,
15,@49ers,W 12 - 6,16,27,160,5.9,0,0,0,0,76.2,4.0,18.0,4.5,0.0,,
16,@Jets,W 19 - 9,14,19,110,5.8,1,1,0,0,83.2,3.0,-4.0,-1.3,0.0,,
17,Cardinals,W 13 - 9,17,32,189,5.9,0,0,0,0,71.0,6.0,16.0,2.7,0.0,,
1,@Lions,L 20 - 26,34,49,317,6.5,1,1,2,13,85.2,,,,,,
2,@Cardinals,L 10 - 41,19,27,216,8.0,0,0,5,24,94.1,,,,,1.0,1.0
3,49ers,W 27 - 24,16,25,221,8.8,1,0,3,23,105.6,,,,,,
4,@Bears,L 18 - 24,20,29,224,7.7,0,1,3,21,77.4,1.0,-1.0,-1.0,0.0,1.0,1.0
5,Packers,L 19 - 24,29,45,260,5.8,1,1,3,24,78.0,,,,,,
7,Raiders,W 20 - 15,14,23,154,6.7,0,1,1,10,62.6,2.0,-2.0,-1.0,0.0,,
8,Vikings,W 30 - 20,25,34,279,8.2,4,1,0,0,124.5,3.0,-4.0,-1.3,0.0,,
9,@Seahawks,W 26 - 20,25,44,298,6.8,2,1,0,0,83.3,1.0,0.0,0.0,0.0,1.0,0.0
10,Dolphins,L 15 - 23,32,46,293,6.4,0,1,4,36,77.5,1.0,0.0,0.0,0.0,2.0,0.0
11,@Patriots,W 28 - 22,18,27,295,10.9,4,0,0,0,142.8,4.0,0.0,0.0,0.0,,
12,Eagles,L 20 - 37,24,36,243,6.8,2,0,5,45,104.3,1.0,15.0,15.0,0.0,1.0,0.0
