WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,Raiders,W 19 - 17,26,46,306,6.6,1,0,5,40,84.2,2.0,4.0,2.0,0.0,1.0,0.0
14,Chargers,W 19 - 17,24,37,210,5.7,1,0,3,8,88.8,4.0,17.0,4.2,0.0,,
15,@Browns,W 21 - 7,19,38,159,4.2,2,0,0,0,78.7,2.0,14.0,7.0,0.0,,
16,Texans,W 27 - 19,28,41,260,6.3,1,0,1,9,93.6,5.0,33.0,6.6,1.0,,
17,@Steelers,W 29 - 10,29,38,320,8.4,3,0,0,0,127.1,1.0,12.0,12.0,0.0,,
1,Ravens,W 27 - 20,20,28,291,10.4,1,1,2,10,101.9,2.0,3.0,1.5,0.0,,
2,Bengals,W 26 - 25,18,25,151,6.0,2,2,2,14,80.6,4.0,29.0,7.2,0.0,,
3,@Falcons,W 22 - 17,26,39,217,5.6,2,1,0,0,87.2,6.0,17.0,2.8,0.0,,
4,@Chargers,W 17 - 10,19,29,245,8.4,1,1,3,17,89.0,5.0,12.0,2.4,0.0,,
5,Saints,W 26 - 13,28,39,331,8.5,0,1,2,10,86.6,6.0,22.0,3.7,0.0,,
7,@49ers,W 28 - 18,16,27,154,5.7,0,2,2,9,44.4,5.0,39.0,7.8,1.0,,
8,@Raiders,W 27 - 20,27,38,262,6.9,2,1,1,10,96.6,6.0,17.0,2.8,0.0,,
9,Buccaneers,W 30 - 24,34,44,291,6.6,3,0,4,31,116.8,2.0,9.0,4.5,0.0,,
10,Broncos,W 16 - 14,28,42,266,6.3,1,0,4,23,92.0,3.0,19.0,6.3,0.0,,
11,@Bills,L 21 - 30,23,33,196,5.9,3,2,2,15,90.0,,,,,,
12,@Panthers,W 30 - 27,27,37,269,7.3,3,0,5,43,120.2,5.0,60.0,12.0,0.0,1.0,0.0
