WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT.1,YDS.1,AVG.1,TD.1,FUM,LOST
13,@Packers,L 17 - 30,37,46,365,7.9,2,0,5,29,114.2,2.0,6.0,3.0,0.0,,
14,Jets,W 32 - 26,33,47,331,7.0,2,0,0,0,104.1,1.0,3.0,3.0,0.0,,
15,@Texans,L 12 - 20,29,40,196,4.9,1,3,3,24,60.0,,,,,1.0,1.0
16,49ers,W 29 - 17,22,34,215,6.3,1,0,0,0,92.2,2.0,-1.0,-0.5,0.0,1.0,0.0
1,Jaguars,W 20 - 17,23,37,338,9.1,1,0,3,19,101.0,1.0,11.0,11.0,0.0,,
2,Bills,L 10 - 31,17,25,145,5.8,1,3,1,6,56.7,2.0,17.0,8.5,0.0,,
8,Cardinals,L 27 - 28,28,38,234,6.2,1,0,1,7,97.9,3.0,13.0,4.3,0.0,3.0,0.0
9,@Bills,L 27 - 30,25,28,231,8.2,2,0,1,7,124.8,2.0,3.0,1.5,0.0,,
10,@Rams,W 23 - 15,20,28,207,7.4,1,1,3,36,89.4,1.0,-1.0,-1.0,0.0,1.0,1.0
11,Raiders,W 34 - 19,28,36,288,8.0,3,0,2,17,127.8,,,,,1.0,0.0
12,Patriots,W 34 - 15,29,40,317,7.9,4,0,2,9,128.8,3.0,-2.0,-0.7,0.0,,
