YEAR,TEAM,G,REC,YDS,AVG,LNG,TD,1st,1st%,20+,40+
2024,Baltimore Ravens,16,17,170,10.0,27,2,9,52.9,2,0
2023,Tennessee Titans,17,28,214,7.6,46,0,7,25.0,2,1
2022,Tennessee Titans,16,33,398,12.1,69,0,11,33.3,6,2
2021,Tennessee Titans,8,18,154,8.6,16,0,7,38.9,0,0
2020,Tennessee Titans,16,19,114,6.0,53,0,4,21.0,1,1
2019,Tennessee Titans,15,18,206,11.4,75,2,4,22.2,2,1
2018,Tennessee Titans,16,15,99,6.6,21,0,4,26.7,1,0
2017,Tennessee Titans,16,11,136,12.4,66,1,4,36.4,1,1
2016,Tennessee Titans,15,13,137,10.5,29,0,6,46.2,1,0
TOTAL,,135,172,1628,9.5,75,5,56,32.6,16,6
