YEAR,TEAM,G,ATT,YDS,AVG,LNG,TD,1st,1st%,20+,40+,FUM
2024,Baltimore Ravens,16,305,1783,5.8,87,14,88,28.8,16,4,3
2023,Tennessee Titans,17,280,1167,4.2,69,12,63,22.5,5,2,0
2022,Tennessee Titans,16,349,1538,4.4,56,13,65,18.6,10,4,4
2021,Tennessee Titans,8,219,937,4.3,76,10,49,22.4,3,2,1
2020,Tennessee Titans,16,378,2027,5.4,94,17,98,25.9,16,4,3
2019,Tennessee Titans,15,303,1540,5.1,74,16,73,24.1,9,3,5
2018,Tennessee Titans,16,215,1059,4.9,99,12,51,23.7,4,2,0
2017,Tennessee Titans,16,176,744,4.2,75,5,39,22.2,5,2,1
2016,Tennessee Titans,15,110,490,4.4,22,5,29,26.4,1,0,0
TOTAL,,135,2335,11285,4.8,99,104,555,23.8,69,23,17
