WK,OPP,RESULT,ATT,YDS,AVG,LNG,TD,REC,YDS.1,AVG.1,LNG.1,TD.1,FUM,LOST
13,Rams,L 14 - 21,23.0,112.0,4.9,13.0,0.0,4.0,7.0,1.8,8.0,0.0,,
14,@Giants,W 14 - 11,17.0,44.0,2.6,16.0,0.0,5.0,35.0,7.0,11.0,0.0,,
15,Commanders,L 19 - 20,5.0,12.0,2.4,6.0,0.0,4.0,58.0,14.5,29.0,1.0,,
16,@Packers,L 0 - 34,,,,,,,,,,,,
1,Panthers,W 47 - 10,15.0,83.0,5.5,17.0,1.0,5.0,27.0,5.4,18.0,0.0,,
2,@Cowboys,W 44 - 19,20.0,115.0,5.8,15.0,3.0,2.0,65.0,32.5,57.0,1.0,,
3,Eagles,L 12 - 15,26.0,87.0,3.4,16.0,0.0,3.0,40.0,13.3,27.0,0.0,,
4,@Falcons,L 24 - 26,19.0,77.0,4.0,15.0,1.0,7.0,42.0,6.0,11.0,0.0,,
5,@Chiefs,L 13 - 26,11.0,26.0,2.4,9.0,0.0,6.0,40.0,6.7,14.0,0.0,,
6,Buccaneers,L 27 - 51,13.0,40.0,3.1,7.0,1.0,5.0,24.0,4.8,8.0,0.0,1.0,0.0
7,Broncos,L 10 - 33,7.0,10.0,1.4,6.0,0.0,6.0,14.0,2.3,6.0,0.0,,
8,@Chargers,L 8 - 26,10.0,67.0,6.7,24.0,0.0,6.0,55.0,9.2,37.0,0.0,,
9,@Panthers,L 22 - 23,29.0,155.0,5.3,20.0,0.0,6.0,60.0,10.0,20.0,0.0,,
10,Falcons,W 20 - 17,17.0,55.0,3.2,11.0,0.0,5.0,54.0,10.8,31.0,0.0,,
11,Browns,W 35 - 14,16.0,67.0,4.2,18.0,0.0,4.0,22.0,5.5,18.0,0.0,,
